IP,Enterprise Code,MAC,Vendor
82.75.135.99,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.3.225,9.0,0024161bb0db80,ciscoSystems
80.247.167.1,9.0,f80f6fe4c650,ciscoSystems
80.113.27.130,9.0,003891b7b49900,ciscoSystems
81.173.127.82,9.0,000006f605c996,ciscoSystems
80.65.118.190,9.0,000845d1b34c00,ciscoSystems
78.40.192.12,8072.0,No Mac indication (0x03),net-snmp
81.173.59.123,2011.0,042758474a83,"HUAWEI Technology Co.,Ltd"
81.173.124.66,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
77.248.101.0,9.0,007001b5cd7800,ciscoSystems
80.85.244.7,8072.0,No Mac indication (0x03),net-snmp
81.171.37.163,1970372420.0,No Mac indication (0x03),
80.249.214.8,9.0,not_set,ciscoSystems
81.173.125.67,2011.0,80b5752cf26b,"HUAWEI Technology Co.,Ltd"
80.113.27.63,9.0,0024169daa1c00,ciscoSystems
79.143.215.98,52642.0,649d99d2526a,FS.COM INC
80.113.101.152,9.0,00e462c4791e80,ciscoSystems
82.73.65.0,9.0,00d4ad710d0000,ciscoSystems
80.56.102.77,2863.0,No Mac indication (0x03),Thomson Inc.
80.65.118.149,9.0,0028affdf0d600,ciscoSystems
77.251.104.1,9.0,00285261fa5c00,ciscoSystems
80.113.211.174,8072.0,No Mac indication (0x03),net-snmp
82.74.181.255,9.0,00002790ffa800,ciscoSystems
78.108.138.13,9.0,00ec447630f483,ciscoSystems
80.252.86.98,9.0,00848a8d986d20,ciscoSystems
77.250.61.0,9.0,0028526128e000,ciscoSystems
80.56.206.0,9.0,0094d469541400,ciscoSystems
81.173.124.209,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
82.75.37.168,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.79.203.4,9.0,00002155946424,ciscoSystems
80.113.98.168,9.0,00b0c53c1f6180,ciscoSystems
81.173.96.65,8072.0,No Mac indication (0x03),net-snmp
81.4.74.49,9.0,00001873b8540c,ciscoSystems
80.242.233.30,8072.0,No Mac indication (0x03),net-snmp
82.151.54.193,9.0,0000260b7a09dd,ciscoSystems
80.114.79.247,2863.0,No Mac indication (0x03),Thomson Inc.
82.101.241.1,9.0,00f8b7e2057400,ciscoSystems
82.75.144.167,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
