IP,Enterprise Code,MAC,Vendor
78.108.141.38,9,002cf89b60a580,ciscoSystems
31.223.161.5,8072,No Mac indication (0x03),net-snmp
77.242.117.232,9,003891b73f2600,ciscoSystems
31.149.55.105,9,002c4f52460090,ciscoSystems
85.146.194.177,9,00683b78689900,ciscoSystems
84.105.210.0,9,00285261fb6400,ciscoSystems
46.144.85.33,9,005c3e069aae80,ciscoSystems
31.160.222.217,9,00707db98942f8,ciscoSystems
80.112.60.104,2863,No Mac indication (0x03),Thomson Inc.
84.29.210.255,9,00d4ad710dc800,ciscoSystems
85.146.253.215,9,003cce73b85a81,ciscoSystems
77.60.206.233,9,002c5a0ff7bd68,ciscoSystems
31.149.203.175,9,00843dc6cf9fcc,ciscoSystems
85.146.239.145,9,0024d79c379000,ciscoSystems
85.17.18.33,8072,No Mac indication (0x03),net-snmp
5.200.12.64,2636,No Mac indication (0x03),"Juniper Networks, Inc."
37.74.47.104,9,00c828e5f2fa80,ciscoSystems
37.26.225.39,9,not_set,ciscoSystems
46.144.94.175,9,0074a2e6e3cee7,ciscoSystems
31.149.127.80,9,00002a108ab130,ciscoSystems
46.144.165.111,9,00a4530e1020d8,ciscoSystems
77.105.160.163,invalid,invalid,
84.30.6.150,2863,No Mac indication (0x03),Thomson Inc.
85.146.252.217,13191,70fc8c6351e0,OneAccess
84.27.171.75,2863,No Mac indication (0x03),Thomson Inc.
83.98.225.132,9,00e8eb34c9fd00,ciscoSystems
83.97.88.129,9,0084ebef358580,ciscoSystems
77.60.243.155,9,00c4f7d5337e80,ciscoSystems
5.39.171.97,9,2c3311a412f0,ciscoSystems
83.83.96.118,2863,No Mac indication (0x03),Thomson Inc.
31.160.127.121,9,0000fec88ced68,ciscoSystems
46.44.170.206,8072,No Mac indication (0x03),net-snmp
77.94.244.160,9,00cc7f7620e667,ciscoSystems
77.61.141.149,9,0010b3d6d1b190,ciscoSystems
82.217.232.237,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.226.92.1,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
45.83.1.192,invalid,invalid,
81.173.65.194,9,0000fd22159208,ciscoSystems
31.149.177.193,9,0000c164b75a98,ciscoSystems
83.247.6.80,9,00001794197c44,ciscoSystems
46.144.125.183,9,00286f7f37bfa6,ciscoSystems
46.243.197.191,2238,No Mac indication (0x03),The FreeBSD Project
31.149.110.247,9,00707db96e7a78,ciscoSystems
46.144.59.81,9,00bc26c7d8ff84,ciscoSystems
84.27.137.133,4684,No Mac indication (0x03),Ambit Microsystems Corporation
84.241.177.82,9,5c3e06e10a64,ciscoSystems
80.113.248.165,9,005c64f1f32300,ciscoSystems
5.39.168.142,9,2c3311a412f0,ciscoSystems
45.131.85.17,9,00a46c2a3c5b00,ciscoSystems
46.144.216.233,invalid,invalid,
31.160.117.207,9,00d4e880d87298,ciscoSystems
84.105.96.62,2863,No Mac indication (0x03),Thomson Inc.
83.167.199.1,9,0044b6be765e80,ciscoSystems
46.226.60.227,9,0058ac78269080,ciscoSystems
37.74.185.103,9,0084b26179864c,ciscoSystems
37.74.92.152,9,0020cc279b1e07,ciscoSystems
83.137.143.177,9,0078f1c68f6100,ciscoSystems
85.146.220.177,13191,70fc8c6816f0,OneAccess
83.174.140.143,9,003c13ccee2680,ciscoSystems
83.84.98.255,9,006c410e8ff800,ciscoSystems
45.139.165.177,9,0058ac784e2dea,ciscoSystems
83.87.239.201,2863,No Mac indication (0x03),Thomson Inc.
62.200.30.255,9,not_set,ciscoSystems
31.160.103.81,9,004c710d06e700,ciscoSystems
46.44.178.25,9,00dc774ce02790,ciscoSystems
31.149.150.49,9,003890a59f2f18,ciscoSystems
85.146.222.149,2011,fc73fbffa36c,"HUAWEI Technology Co.,Ltd"
46.23.91.3,1970372468,No Mac indication (0x03),
5.178.115.19,25506,3ce5a6d9f6c6,H3C
83.98.239.184,9,0000c88b4fed00,ciscoSystems
31.160.168.151,9,00f40f1b43a4c8,ciscoSystems
46.145.121.208,9,000042683b5978,ciscoSystems
31.160.148.64,9,0000f28bb5562c,ciscoSystems
82.101.219.255,9,006c13d5219000,ciscoSystems
80.57.123.255,9,00285261fa5c00,ciscoSystems
