IP,Enterprise Code,MAC,Vendor
144.178.250.97,9,00588b1c9d1600,ciscoSystems
87.195.27.10,8072,No Mac indication (0x03),net-snmp
95.99.56.0,1344692224,not_set,
92.70.241.129,9,0000fcba99f270,ciscoSystems
89.99.190.162,2863,No Mac indication (0x03),Thomson Inc.
92.67.114.89,9,00002a103c0b34,ciscoSystems
89.20.94.147,9,00c44d84f2f480,ciscoSystems
93.117.218.103,2011,d8109fc2ead4,"HUAWEI Technology Co.,Ltd"
154.14.44.9,9,00000000000000,ciscoSystems
95.168.161.22,8072,No Mac indication (0x03),net-snmp
94.103.145.29,9,000005740fb2bc,ciscoSystems
145.128.243.120,9,No Mac indication (0x03),ciscoSystems
92.70.22.225,9,00d4789b7cab96,ciscoSystems
149.143.58.139,8072,1056ca17d8e0,net-snmp
145.131.159.183,9,No Mac indication (0x03),ciscoSystems
94.210.23.1,9,00285261fabc00,ciscoSystems
93.190.140.148,8072,No Mac indication (0x03),net-snmp
109.109.117.36,9,0028affd10b000,ciscoSystems
89.38.97.46,8072,No Mac indication (0x03),net-snmp
92.48.192.87,8072,No Mac indication (0x03),net-snmp
87.238.170.23,9,000845d1b3a300,ciscoSystems
145.102.244.112,9,005006ab639200,ciscoSystems
145.128.241.126,9,No Mac indication (0x03),ciscoSystems
92.67.231.153,invalid,invalid,
89.207.25.68,9,00f86bd92aba00,ciscoSystems
109.109.108.89,9,00e8eb34c9fd00,ciscoSystems
94.213.198.1,9,00f4bd9ee39c00,ciscoSystems
89.146.44.208,9,00a0ecf94c0070,ciscoSystems
92.64.213.87,9,00003a7d790400,ciscoSystems
93.92.25.180,9,0040017a51a460,ciscoSystems
149.143.19.208,9,0064e9501911c4,ciscoSystems
89.149.201.32,8072,No Mac indication (0x03),net-snmp
149.143.23.116,9,00e4d3f18bfc94,ciscoSystems
92.109.228.1,9,0000ebd5ed3c00,ciscoSystems
87.209.239.255,1344692224,not_set,
92.65.126.17,9,004c776d699caa,ciscoSystems
95.142.41.1,9,30f70d9ee0e0,ciscoSystems
92.68.61.124,9,0080248f157c80,ciscoSystems
144.178.109.23,9,009c57ad95b001,ciscoSystems
145.131.176.102,9,00fc5b394bdea4,ciscoSystems
145.222.49.81,9,003a9c403145,ciscoSystems
92.110.99.0,9,000029c2017000,ciscoSystems
87.208.60.1,1344692224,not_set,
93.117.212.141,9,003891b7b61480,ciscoSystems
89.146.50.41,9,00a0ecf94c0070,ciscoSystems
145.131.151.5,8072,No Mac indication (0x03),net-snmp
93.184.99.115,9,00b08bcf3aae80,ciscoSystems
89.146.51.174,9,No Mac indication (0x03),ciscoSystems
92.65.136.25,8072,1056ca114c58,net-snmp
92.65.134.217,9,003c510e680230,ciscoSystems
145.220.141.1,8072,No Mac indication (0x03),net-snmp
94.213.12.121,2863,No Mac indication (0x03),Thomson Inc.
91.103.23.70,9,00d4eb683da000,ciscoSystems
145.128.195.46,9,not_set,ciscoSystems
88.208.11.14,8072,No Mac indication (0x03),net-snmp
93.117.220.185,9,007411b2a71700,ciscoSystems
88.208.11.117,8072,No Mac indication (0x03),net-snmp
89.207.24.255,9,00dc8c373c1000,ciscoSystems
93.117.244.17,13191,70fc8c16156e,OneAccess
93.117.236.145,9,007411b2a96e80,ciscoSystems
145.131.191.24,9,00a0ecf94c0070,ciscoSystems
143.178.12.1,1344692224,not_set,
94.213.39.0,9,006c410e8fd000,ciscoSystems
93.117.197.141,9,006c13d5e34d00,ciscoSystems
93.92.25.10,9,00fc9947b45808,ciscoSystems
144.178.248.194,9,005c710db2e211,ciscoSystems
145.222.106.94,7146,005056ba5922,Zeus Technology Ltd
145.102.240.200,9,005006ab638100,ciscoSystems
93.186.187.241,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
94.213.4.93,2863,No Mac indication (0x03),Thomson Inc.
145.128.244.246,9,No Mac indication (0x03),ciscoSystems
89.146.49.80,9,0030f70d6ee336,ciscoSystems
144.178.229.142,9,007079b39628e7,ciscoSystems
93.117.227.177,9,00889caddb0c80,ciscoSystems
149.143.23.182,9,not_set,ciscoSystems
89.20.82.40,8072,No Mac indication (0x03),net-snmp
89.146.58.88,8072,No Mac indication (0x03),net-snmp
93.117.249.177,13191,70fc8c161a98,OneAccess
95.129.121.149,9,000021d7a73c81,ciscoSystems
92.109.253.0,9,000029c2017000,ciscoSystems
91.189.211.39,9,00d4e880f60e00,ciscoSystems
94.214.40.240,4684,No Mac indication (0x03),Ambit Microsystems Corporation
87.213.96.174,9,00003a7d369a00,ciscoSystems
145.128.243.68,9,No Mac indication (0x03),ciscoSystems
92.65.233.240,9,00ac3a6768ce00,ciscoSystems
87.215.147.242,8072,1056ca6d1a50,net-snmp
92.67.28.37,8072,No Mac indication (0x03),net-snmp
93.117.254.25,13191,70fc8c634e40,OneAccess
95.211.66.219,9,000021a1d0dc01,ciscoSystems
93.117.211.47,9,002cf89bd70380,ciscoSystems
147.123.48.8,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
94.209.201.255,9,00285261293c00,ciscoSystems
94.213.207.255,9,006c410e51c800,ciscoSystems
94.247.4.143,8072,No Mac indication (0x03),net-snmp
93.117.202.41,9,0024169d753300,ciscoSystems
87.212.28.0,1344692224,not_set,
94.210.0.217,2863,No Mac indication (0x03),Thomson Inc.
94.103.155.191,9,000005740fb2bc,ciscoSystems
94.124.92.222,8072,No Mac indication (0x03),net-snmp
91.198.123.186,8072,No Mac indication (0x03),net-snmp
92.69.75.2,12356,No Mac indication (0x03),"Fortinet, Inc."
92.110.108.0,9,000029c2017000,ciscoSystems
94.46.218.2,2636,No Mac indication (0x03),"Juniper Networks, Inc."
109.109.101.65,9,00b0c53ce4b580,ciscoSystems
152.89.5.1,9,0018e72874e900,ciscoSystems
94.211.130.160,2863,No Mac indication (0x03),Thomson Inc.
109.34.160.98,8072,No Mac indication (0x03),net-snmp
145.131.131.127,9,00bcd2958d0700,ciscoSystems
89.20.89.31,9,0070ca9b581f1c,ciscoSystems
145.131.102.211,9,007c0ecebcf5b4,ciscoSystems
91.221.151.15,8072,No Mac indication (0x03),net-snmp
91.189.211.100,9,0058ac78268c80,ciscoSystems
95.98.32.1,1344692224,not_set,
94.142.211.8,9,00d4e880f64700,ciscoSystems
109.206.176.4,8072,No Mac indication (0x03),net-snmp
91.232.115.152,9,00b0aa7727b000,ciscoSystems
90.145.64.18,8741,0017c5e0bbc8,"SonicWALL, Inc."
109.109.109.216,9,00b0c53ce4ad80,ciscoSystems
144.178.71.135,8072,No Mac indication (0x03),net-snmp
145.102.241.68,8072,No Mac indication (0x03),net-snmp
145.222.223.3,9,d4789bd35270,ciscoSystems
92.66.185.120,9,0000f28bb55550,ciscoSystems
94.211.112.1,9,00285261fa5000,ciscoSystems
93.117.229.175,9,005c3e06b9e000,ciscoSystems
149.143.2.169,9,00845a3e9ecd80,ciscoSystems
94.209.28.68,4684,No Mac indication (0x03),Ambit Microsystems Corporation
109.34.160.75,8072,No Mac indication (0x03),net-snmp
145.128.183.1,9,0000a6ca031f2c,ciscoSystems
93.191.1.153,9,002c33119eaf80,ciscoSystems
131.174.245.5,9,0058569f5e27e0,ciscoSystems
94.103.146.25,9,000005740fb2bc,ciscoSystems
93.92.30.177,9,not_set,ciscoSystems
89.255.222.31,9,0004bd97a1f590,ciscoSystems
93.117.208.193,13191,70fc8c161498,OneAccess
93.117.204.185,13191,70fc8c160768,OneAccess
87.233.78.186,11,not_set,Hewlett-Packard
88.218.152.98,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
94.213.19.1,9,00d4ad710d4400,ciscoSystems
109.235.34.180,9,007c210e24a867,ciscoSystems
92.70.183.105,9,0024161ba50b80,ciscoSystems
95.97.61.197,8072,No Mac indication (0x03),net-snmp
89.149.203.75,9,f02572a8eb80,ciscoSystems
92.67.4.68,9,00286f7f5f8554,ciscoSystems
94.210.182.161,4684,No Mac indication (0x03),Ambit Microsystems Corporation
93.117.196.241,13191,70fc8c676a80,OneAccess
145.128.206.179,9,00005d73e976f0,ciscoSystems
94.209.105.1,9,006c410e152c00,ciscoSystems
109.109.103.92,9,00482e72fe6980,ciscoSystems
145.102.243.112,9,005006ab639200,ciscoSystems
93.117.212.201,9,00b8a3777c0c80,ciscoSystems
151.236.147.58,9,00286f7f37e22b,ciscoSystems
92.66.239.5,invalid,invalid,
137.174.4.73,9,00fa163ef29c04,ciscoSystems
87.195.48.195,8072,No Mac indication (0x03),net-snmp
109.109.102.151,9,007c210e058c80,ciscoSystems
87.195.3.33,9,No Mac indication (0x03),ciscoSystems
147.28.207.193,1068942679,not_set,
92.66.24.34,8072,1056ca1b2a34,net-snmp
87.215.44.73,9,00442b035deb00,ciscoSystems
141.101.129.1,1970372352,No Mac indication (0x03),
145.224.80.230,7367,001daa55bfd0,DrayTek Corporation
90.145.94.51,9,0044643ca16a80,ciscoSystems
145.131.66.96,9,000081c48ad7cc,ciscoSystems
109.109.96.85,9,00b0c53ce4ad80,ciscoSystems
93.117.208.157,13191,70fc8c1611e4,OneAccess
92.64.29.184,9,00508789ea8d9d,ciscoSystems
93.117.211.77,9,0044b6bee26280,ciscoSystems
87.210.245.255,1344692224,not_set,
89.255.4.69,9,0000a2eeaa7a20,ciscoSystems
109.109.119.129,9,0028affd0e6300,ciscoSystems
92.109.72.1,9,0000ebd5ec4400,ciscoSystems
89.99.211.0,9,006c410e50ac00,ciscoSystems
145.131.215.20,9,0024169d5aa800,ciscoSystems
109.109.98.113,9,not_set,ciscoSystems
95.129.123.137,9,000023acdb2881,ciscoSystems
145.131.252.202,7367,1449bc068e68,DrayTek Corporation
92.108.71.0,9,0094d469541400,ciscoSystems
89.20.89.209,9,0084b802df6430,ciscoSystems
144.178.127.82,9,00502fa8c370f3,ciscoSystems
95.215.185.33,8072,No Mac indication (0x03),net-snmp
92.68.46.185,9,00ec01d5e20d00,ciscoSystems
92.68.181.76,9,00881dfc90509c,ciscoSystems
145.94.52.0,9,0020cfae843340,ciscoSystems
87.215.64.94,9,005c3192fb3780,ciscoSystems
145.128.221.152,9,00649ef3da7de0,ciscoSystems
89.20.87.132,8072,No Mac indication (0x03),net-snmp
145.128.223.185,9,not_set,ciscoSystems
94.142.209.184,9,0058ac78268c80,ciscoSystems
92.64.2.85,9,00b4de31a28378,ciscoSystems
87.212.194.154,8072,1056ca6b63b0,net-snmp
145.102.241.78,8072,No Mac indication (0x03),net-snmp
87.236.6.63,9,000845d1b22d00,ciscoSystems
89.20.94.192,9,00f40f1b886342,ciscoSystems
92.65.151.245,9,002cf89b4c6e5c,ciscoSystems
109.109.105.21,9,00b0c53ce4ac80,ciscoSystems
143.179.224.1,1344692224,not_set,
91.232.114.97,9,00b0aa7727b000,ciscoSystems
92.66.49.101,9,00bc26c76a9dcc,ciscoSystems
89.146.63.122,9,No Mac indication (0x03),ciscoSystems
89.146.62.103,invalid,invalid,
93.184.99.122,9,008c1e8097ab00,ciscoSystems
87.210.243.255,1344692224,not_set,
93.117.220.251,9,005cb12ef7a180,ciscoSystems
95.142.49.98,9,000462736d7994,ciscoSystems
95.97.61.198,8072,No Mac indication (0x03),net-snmp
90.145.98.109,8072,No Mac indication (0x03),net-snmp
87.210.68.1,1344692224,not_set,
