IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
144.178.248.42,8000000903004cec0fed4a01,4,21104571,9,004cec0fed4a01,ciscoSystems
139.92.185.145,800000090300000bfcdbb01b,9,19015740,9,00000bfcdbb01b,ciscoSystems
144.178.228.211,800000090300f80f6fc6e68d,4,421770,9,00f80f6fc6e68d,ciscoSystems
139.28.203.209,800000090300005d73765a00,17,46161745,9,00005d73765a00,ciscoSystems
141.0.24.80,80000009030000426855eab0,2,65068744,9,0000426855eab0,ciscoSystems
141.136.121.146,800007db03c4ff1fce5a8c,18,3469872,2011,c4ff1fce5a8c,"HUAWEI Technology Co.,Ltd"
137.174.164.33,0000197f000018c300495000,2,51131452,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.177.228.0,502660000000010030000008,8,50075237,1344692224,not_set,
139.28.200.63,8000000903000845d1b08a00,4,60331034,9,000845d1b08a00,ciscoSystems
139.28.201.53,800000090300ecce13a5b400,18,8914032,9,00ecce13a5b400,ciscoSystems
137.174.5.52,800000090300fa163e6cdd66,8,12220174,9,00fa163e6cdd66,ciscoSystems
144.178.250.176,8000000903006c29d223ba81,4,34313553,9,006c29d223ba81,ciscoSystems
141.255.178.102,8000000903004800b32fa500,5,4666050,9,004800b32fa500,ciscoSystems
144.178.230.44,80000009030000fd2224e031,2,8984978,9,0000fd2224e031,ciscoSystems
141.136.121.97,80000009030060735c92f1e0,17,85207845,9,0060735c92f1e0,ciscoSystems
141.98.231.33,8000000903002c86d2c3b500,16,39810299,9,002c86d2c3b500,ciscoSystems
134.19.179.169,80000a4c030c599c5c6200,1,149958572,2636,0c599c5c6200,"Juniper Networks, Inc."
144.178.226.62,800000090300f8c288cb2f29,3,9849017,9,00f8c288cb2f29,ciscoSystems
144.178.238.130,800000090300bc26c7146dc1,4,19296230,9,00bc26c7146dc1,ciscoSystems
144.178.234.7,800000090300005d732624ff,2,39338574,9,00005d732624ff,ciscoSystems
143.177.172.0,502660000000010030000026,8,50076290,1344692224,not_set,
144.178.229.136,8000000903007079b39628e7,2,5871474,9,007079b39628e7,ciscoSystems
143.178.2.1,502660000000010030001004,4,16816319,1344692224,not_set,
143.177.199.255,502660000000010030000017,9,49557810,1344692224,not_set,
144.178.230.23,8000000903005c710db2bccd,2,89416660,9,005c710db2bccd,ciscoSystems
137.174.154.131,0000197f0000e48184ab8734,4,72955235,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
137.174.172.241,0000197f000018c300497800,5,41700902,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.179.95.255,502660000000010030000087,11,50162550,1344692224,not_set,
137.174.153.61,0000197f0000e48184ab8734,4,72955235,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.71.186,80001f8880ae971c5100032066,2,35498087,8072,No Mac indication (0x03),net-snmp
141.255.179.25,800000090300f8c650cd3980,12,2778044,9,00f8c650cd3980,ciscoSystems
144.178.235.31,800000090300bc26c7dfaadb,4,19518474,9,00bc26c7dfaadb,ciscoSystems
141.255.178.3,80000009030024d79c706100,9,1209848,9,0024d79c706100,ciscoSystems
144.178.192.154,8000000903003c13cccfbe80,16,42519819,9,003c13cccfbe80,ciscoSystems
136.144.30.34,80000a4c0188901e01,1,71787463,2636,No Mac indication (0x03),"Juniper Networks, Inc."
143.178.27.0,502660000000010030000010,6,49557067,1344692224,not_set,
139.28.201.184,800000090300442b03030130,5,39147367,9,00442b03030130,ciscoSystems
144.178.225.164,800000090300d4789b02eea9,1,36550665,9,00d4789b02eea9,ciscoSystems
144.178.108.174,80000009030070695af5ce07,5,4170101,9,0070695af5ce07,ciscoSystems
139.28.202.117,800000090300f04a02710780,10,4760667,9,00f04a02710780,ciscoSystems
137.174.145.35,0000197f0000147bacb03abf,4,66855724,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.235.47,800000090300005d7326249b,7,1204696,9,00005d7326249b,ciscoSystems
136.144.230.168,80001f88802470b91207548a5d00000000,8,145305300,8072,No Mac indication (0x03),net-snmp
144.178.110.250,80000009030070db9861d97d,4,25239908,9,0070db9861d97d,ciscoSystems
137.174.173.93,0000197f000018c300497800,5,41700908,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
139.28.202.128,80000009030040ce24d97a80,8,106974577,9,0040ce24d97a80,ciscoSystems
144.178.224.94,8000000903006cab053268cf,4,116981442,9,006cab053268cf,ciscoSystems
139.122.224.36,8000000903000081c44e9700,8,9422595,9,000081c44e9700,ciscoSystems
144.178.236.8,800000090300bc26c7d93b59,5,15999945,9,00bc26c7d93b59,ciscoSystems
143.179.122.1,502660000000010030000141,4,34167831,1344692224,not_set,
141.138.218.103,800000090300380e4d51925a,17,26870955,9,00380e4d51925a,ciscoSystems
143.179.64.1,502660000000010030000138,3,50506016,1344692224,not_set,
143.177.128.1,502660000000031201007169,2,50684770,1344692224,not_set,
144.178.228.45,8000000903000027e3397b89,4,8046255,9,000027e3397b89,ciscoSystems
144.178.236.46,800000090300005d73cc7c6d,3,34667937,9,00005d73cc7c6d,ciscoSystems
144.178.108.150,80000009030000eabdd39e13,5,48476018,9,0000eabdd39e13,ciscoSystems
139.178.72.1,514ca47ebcbe13d09101df6a0deb82648f6202d0af52227d0497749d17893284,62,19828366,1363977342,not_set,
134.19.188.185,80000a4c03ec3873d5382c,2,146020054,2636,ec3873d5382c,"Juniper Networks, Inc."
144.178.224.16,8000000903002c331125c9d9,2,3461669,9,002c331125c9d9,ciscoSystems
144.178.68.193,800000090300d0ec35f23b80,2,197163330,9,00d0ec35f23b80,ciscoSystems
137.174.153.253,0000197f0000185b00a6752c,3,21169817,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.236.236,800000090300c4b23981aa80,22,5882358,9,00c4b23981aa80,ciscoSystems
144.178.225.50,8000000903002cf89bc8ebf5,4,9347358,9,002cf89bc8ebf5,ciscoSystems
143.178.24.255,502660000000010030000141,4,34167847,1344692224,not_set,
139.28.201.192,800000090300c08c60fa3300,45,2694889,9,00c08c60fa3300,ciscoSystems
144.178.239.182,800000090300c828e5cd0a01,27,3332166,9,00c828e5cd0a01,ciscoSystems
143.177.144.1,502660000000010030000005,7,57770650,1344692224,not_set,
144.178.234.126,8000000903000027e3397a21,5,7120312,9,000027e3397a21,ciscoSystems
144.178.95.89,800000090300bc5a56bf3080,24,69126998,9,00bc5a56bf3080,ciscoSystems
136.144.142.146,80001f8880fa8595764542c85800000000,95,881510,8072,No Mac indication (0x03),net-snmp
141.255.178.6,800000090300f8c650d01280,7,30867119,9,00f8c650d01280,ciscoSystems
143.177.124.1,502660000000010030000024,9,57771282,1344692224,not_set,
144.178.108.250,80000009030040017aa1d921,3,5728597,9,0040017aa1d921,ciscoSystems
145.11.62.0,8000000903005c5ac7f98500,10,79011678,9,005c5ac7f98500,ciscoSystems
144.178.228.231,8000000903007079b395e1a7,1,8646487,9,007079b395e1a7,ciscoSystems
137.174.186.181,0000197f0000e0cb195fcf70,2,41098448,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
136.144.30.54,f5717f001c732a361999,3,23317016,1970372352,No Mac indication (0x03),
144.178.81.45,800000090300dc8c37d81b00,12,90567169,9,00dc8c37d81b00,ciscoSystems
144.178.228.223,8000000903006cab051463a1,2,21020775,9,006cab051463a1,ciscoSystems
141.136.122.166,800007db033ce8248b0525,12,2869982,2011,3ce8248b0525,"HUAWEI Technology Co.,Ltd"
144.178.235.210,80000009766d616e645a085e,10,49526458,9,No Mac indication (0x03),ciscoSystems
139.28.202.113,800000090300f04a02710780,10,4760740,9,00f04a02710780,ciscoSystems
144.178.224.240,800000090300f40f1b668637,1,16000324,9,00f40f1b668637,ciscoSystems
134.19.188.89,80000a4c03ec3873d5382c,2,146020160,2636,ec3873d5382c,"Juniper Networks, Inc."
139.28.202.48,800000090300e41f7b0e3a80,20,27767504,9,00e41f7b0e3a80,ciscoSystems
141.255.178.65,8000000903004800b32fcc00,5,10731199,9,004800b32fcc00,ciscoSystems
143.177.120.1,502660000000031201007168,2,50684299,1344692224,not_set,
144.178.236.198,8000000903007079b3066121,3,5653056,9,007079b3066121,ciscoSystems
144.178.71.188,80001f8880ae971c5100032066,2,35498204,8072,No Mac indication (0x03),net-snmp
137.174.172.73,0000197f000010e878172401,3,37883987,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
139.28.200.81,8000000903004c710d06ef00,13,40949080,9,004c710d06ef00,ciscoSystems
139.28.203.49,80000009030074a2e63c4ec0,11,77024324,9,0074a2e63c4ec0,ciscoSystems
144.178.228.197,80000009030034ed1bb67149,4,28092049,9,0034ed1bb67149,ciscoSystems
