IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
195.35.225.41,800000090300341b2dd22c00,12,23072743,9.0,00341b2dd22c00,ciscoSystems
194.213.126.102,80003a8c04,0,0,,invalid,
208.88.130.158,80000009030040f078e67e80,20,21102446,9.0,0040f078e67e80,ciscoSystems
195.35.252.68,800000090300e8eb34c9b480,4,70951446,9.0,00e8eb34c9b480,ciscoSystems
192.145.26.241,8000000903005c64f1321f80,20,2341938,9.0,005c64f1321f80,ciscoSystems
195.35.242.239,800000090300a03d6e243500,27,2510734,9.0,00a03d6e243500,ciscoSystems
194.124.228.5,80001f88800f2af31c6951b35d00000000,2093,61884,8072.0,No Mac indication (0x03),net-snmp
194.196.226.47,00000009030080a2355ac800,7,74949790,9.0,not_set,ciscoSystems
212.45.60.3,800000090300001794197c44,21,142855545,9.0,00001794197c44,ciscoSystems
194.69.16.77,800000090300000a8ae72581,5,435077715,9.0,00000a8ae72581,ciscoSystems
195.121.109.81,800000090300706bb99aab92,5,209967948,9.0,00706bb99aab92,ciscoSystems
195.75.15.241,0000000903001cea0b67e000,12,2037975,9.0,not_set,ciscoSystems
193.142.207.81,800000090300780cf0728580,8,75722908,9.0,00780cf0728580,ciscoSystems
194.196.49.225,800000090300e4c722bafba0,5,110639,9.0,00e4c722bafba0,ciscoSystems
195.191.1.115,800000090300008e73df0e00,12,48857221,9.0,00008e73df0e00,ciscoSystems
212.45.60.217,800000090300286f7f393fef,20,142854115,9.0,00286f7f393fef,ciscoSystems
195.121.105.129,800000090300706bb99aab92,5,209967948,9.0,00706bb99aab92,ciscoSystems
194.196.192.199,00000009030080a2355df000,8,2212146,9.0,not_set,ciscoSystems
195.35.219.87,800000090300f4ee31ade780,20,6411129,9.0,00f4ee31ade780,ciscoSystems
192.145.27.228,80000009030000eeab237e80,20,22655326,9.0,0000eeab237e80,ciscoSystems
193.141.116.161,800000090300e4387ed80300,6,4839419,9.0,00e4387ed80300,ciscoSystems
193.151.185.161,80003a8c04,0,0,,invalid,
195.75.39.1,8000000903002c3311599600,18,24175947,9.0,002c3311599600,ciscoSystems
193.172.19.0,800000090300bcc493477000,3,176651923,9.0,00bcc493477000,ciscoSystems
192.145.25.63,800000090300a00f3722d300,6,69135670,9.0,00a00f3722d300,ciscoSystems
194.69.31.65,800000090300000a8af0e4c1,10,147048195,9.0,00000a8af0e4c1,ciscoSystems
195.75.244.147,8000000903005c5ac71b2b80,16,74090913,9.0,005c5ac71b2b80,ciscoSystems
195.85.130.62,800000090300000deda95be0,3,197298887,9.0,00000deda95be0,ciscoSystems
194.26.103.34,80000634b264f00010142f7326,1,100641947,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
195.35.254.63,80000009030040b5c17ab100,8,65319447,9.0,0040b5c17ab100,ciscoSystems
194.5.181.126,8000000903009077ee864700,20,9172331,9.0,009077ee864700,ciscoSystems
195.75.178.136,00000009030080a2355ab000,6,1955201,9.0,not_set,ciscoSystems
194.196.50.43,80000009030088f0313b5200,1,3343806,9.0,0088f0313b5200,ciscoSystems
194.49.82.0,800000090300700f6aae5de0,14,35568147,9.0,00700f6aae5de0,ciscoSystems
208.88.128.110,800000090300bc5a566c8400,11,158641990,9.0,00bc5a566c8400,ciscoSystems
193.254.214.235,800000090300001e7a585da8,16,16701554,9.0,00001e7a585da8,ciscoSystems
212.45.61.96,000000090200003096e6a400,12,86092489,9.0,not_set,ciscoSystems
195.35.134.65,8000000903003891b7a3d780,14,21416057,9.0,003891b7a3d780,ciscoSystems
212.45.35.219,800000090300588d09e69915,62,115730815,9.0,00588d09e69915,ciscoSystems
193.187.189.26,80000634b20400001014d3d196,0,44573553,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
195.35.217.165,800033870370fc8c6850a0,0,0,13191.0,70fc8c6850a0,OneAccess
194.5.181.41,8000000903001cfc17422200,25,5185875,9.0,001cfc17422200,ciscoSystems
212.45.61.126,000000090200003096e6a400,12,86092490,9.0,not_set,ciscoSystems
193.29.181.5,80001f88807ffe931dfffd876700000000,26,4436469,8072.0,No Mac indication (0x03),net-snmp
195.85.146.189,800000090300683b786e9400,19,78435184,9.0,00683b786e9400,ciscoSystems
194.151.28.177,80000009030010f311f087df,3,72933344,9.0,0010f311f087df,ciscoSystems
208.88.128.129,80000009030004627344e500,9,78023673,9.0,0004627344e500,ciscoSystems
212.45.60.218,800000090300001794197c44,21,142855547,9.0,00001794197c44,ciscoSystems
193.42.110.83,80001f88808d45542411fdeb6700000000,2,5696151,8072.0,No Mac indication (0x03),net-snmp
195.35.155.249,800033870370fc8c545a80,0,0,13191.0,70fc8c545a80,OneAccess
208.88.128.114,80000009030040b5c104e600,32,15031737,9.0,0040b5c104e600,ciscoSystems
195.35.251.169,800033870370fc8c66cdd0,0,0,13191.0,70fc8c66cdd0,OneAccess
194.102.239.15,8000000903005488de488a80,17,3437448,9.0,005488de488a80,ciscoSystems
193.239.223.18,80001f8880a0c37b2848a8376600000000,47,2426442,8072.0,No Mac indication (0x03),net-snmp
208.88.129.80,8000000903007c210e239500,51,10043,9.0,007c210e239500,ciscoSystems
194.69.31.29,800000090300000a8af0e4c1,10,147048196,9.0,00000a8af0e4c1,ciscoSystems
193.187.189.203,80000634b20400001014ccd196,2,123313182,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
212.45.33.208,000000090200003096e6a400,12,86092491,9.0,not_set,ciscoSystems
212.45.60.227,800000090300286f7f393fef,20,142854117,9.0,00286f7f393fef,ciscoSystems
212.45.50.65,80000009ee00b0faeb1f4400,16,11705828,9.0,No Mac indication (0x03),ciscoSystems
194.145.247.217,800000090300001e4a9f6ca8,4,200690389,9.0,00001e4a9f6ca8,ciscoSystems
208.88.130.112,80000009030000be75317000,21,12879901,9.0,0000be75317000,ciscoSystems
195.35.149.167,80000009030040b5c184f600,16,31183733,9.0,0040b5c184f600,ciscoSystems
195.35.231.109,80001f8880bb2a8652cb6e1e4d,6,8061798,8072.0,No Mac indication (0x03),net-snmp
195.35.149.217,800000090300dcf719773d81,11,43793940,9.0,00dcf719773d81,ciscoSystems
195.212.74.0,00000009030080a235135800,8,2462155,9.0,not_set,ciscoSystems
208.88.128.79,800000090300a44c11b99890,4,9250229,9.0,00a44c11b99890,ciscoSystems
195.35.198.200,8000000903005c3e06b9cc80,23,17040919,9.0,005c3e06b9cc80,ciscoSystems
193.176.206.252,800000090300188b9d74c0f0,2,20034370,9.0,00188b9d74c0f0,ciscoSystems
192.145.25.75,80000009030074ad986c3280,2,91666928,9.0,0074ad986c3280,ciscoSystems
194.69.28.250,800000090300c067af3fb574,8,91342614,9.0,00c067af3fb574,ciscoSystems
209.250.240.44,80001f8880a83661137f4c2e6500000000,1,51682443,8072.0,No Mac indication (0x03),net-snmp
193.148.23.17,800000090300001795253270,2,1219186,9.0,00001795253270,ciscoSystems
195.35.251.176,8000000903004c421e80f380,14,48484197,9.0,004c421e80f380,ciscoSystems
194.171.108.145,800063a280d89403e2a07b00000097,1,255569250,25506.0,No Mac indication (0x03),H3C
208.88.129.190,80000009030030f70dbb1db0,9,23776064,9.0,0030f70dbb1db0,ciscoSystems
193.56.238.242,80003a8c04,0,0,,invalid,
