IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
84.27.201.142,80000b2f05802994dbec2433,1,1437646,2863.0,No Mac indication (0x03),Thomson Inc.
84.30.93.161,8000124c050c84dc28367d33,258,338148,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
84.104.106.255,8000000903006c410e153000,10,33662782,9.0,006c410e153000,ciscoSystems
85.146.237.165,800033870370fc8c161568,0,0,13191.0,70fc8c161568,OneAccess
82.217.3.84,8000124c05bc855659546333,146,2933268,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
83.86.147.0,800000090300285261293c00,9,30643159,9.0,00285261293c00,ciscoSystems
85.146.199.225,8000000903004ce175f99200,36,2864351,9.0,004ce175f99200,ciscoSystems
83.98.242.97,80000009030028affd0e6300,11,11213471,9.0,0028affd0e6300,ciscoSystems
83.167.208.49,8000000903006c030901fd00,10,20759482,9.0,006c030901fd00,ciscoSystems
83.81.177.0,800000090300002790fe2000,20,30643028,9.0,00002790fe2000,ciscoSystems
84.246.15.86,80000009ee000008e3fffc48,6,64635414,9.0,No Mac indication (0x03),ciscoSystems
85.147.131.15,8000124c052c337a6b308d33,99,1017973,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
85.146.242.49,800000090300802dbf6f1d80,12,64174206,9.0,00802dbf6f1d80,ciscoSystems
85.147.79.208,8000124c057429af64fa9933,42,1808196,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
84.106.146.140,80000b2f0508952ae274a733,1,2999170,2863.0,No Mac indication (0x03),Thomson Inc.
83.247.10.64,800000090300001794197c44,21,142517617,9.0,00001794197c44,ciscoSystems
84.105.3.67,8000124c05c0389669e8ed33,268,1112092,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
83.167.201.240,8000000903007cad4f2acf80,12,6583299,9.0,007cad4f2acf80,ciscoSystems
85.146.205.125,800000090300d47798924600,32,15605914,9.0,00d47798924600,ciscoSystems
83.86.79.0,8000000903000029c200b800,107,30636248,9.0,000029c200b800,ciscoSystems
84.35.87.92,8000000903005475d0692918,4,235785470,9.0,005475d0692918,ciscoSystems
83.167.204.81,8000000903003891b7bb1a80,14,12403581,9.0,003891b7bb1a80,ciscoSystems
84.29.36.1,800000090300002790ffc000,10,16822894,9.0,00002790ffc000,ciscoSystems
85.146.217.5,8000000903006c13d5e33e00,16,21975173,9.0,006c13d5e33e00,ciscoSystems
83.85.136.186,8000124c050c84dc4a24f533,83,432312,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
83.84.244.13,8000124c05906ebbc1637033,277,2488192,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
85.146.202.21,800033870370fc8c50ddc0,0,0,13191.0,70fc8c50ddc0,OneAccess
84.243.213.31,80000009030030e4db86bf1c,2,29531458,9.0,0030e4db86bf1c,ciscoSystems
85.145.99.255,502660000000010030000138,3,50509221,1344692224.0,not_set,
83.82.74.255,800000090300285261293c00,9,30643160,9.0,00285261293c00,ciscoSystems
83.85.79.255,8000000903000029c2007800,15,31329680,9.0,000029c2007800,ciscoSystems
84.246.11.158,800000090300b83861d17654,16,19617363,9.0,00b83861d17654,ciscoSystems
84.28.133.193,80000b2f05e0885dc094e133,1,120443,2863.0,No Mac indication (0x03),Thomson Inc.
84.30.68.49,80000b2f0508952a80327b33,1,229149,2863.0,No Mac indication (0x03),Thomson Inc.
83.84.45.255,8000000903000027900d5800,11,30211284,9.0,000027900d5800,ciscoSystems
84.246.3.201,8000000903002cd02d108b2a,1,6571458,9.0,002cd02d108b2a,ciscoSystems
84.106.39.198,8000124c05906ebbe8257833,175,184442,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
85.146.223.128,800000090300a49bcd793b80,10,33726957,9.0,00a49bcd793b80,ciscoSystems
83.85.89.0,80000009030028526128e400,12,6418672,9.0,0028526128e400,ciscoSystems
85.12.0.34,f5717f28993a0650dd00,18,45946727,1970372392.0,No Mac indication (0x03),
84.38.230.6,8000000903f80f6fe4c650,0,0,9.0,f80f6fe4c650,ciscoSystems
