IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
139.28.203.141,800000090300ac3a67aaad00,39,77056512,9.0,00ac3a67aaad00,ciscoSystems
94.209.102.63,80000b2f0558238cea1f5033,1,4243752,2863.0,No Mac indication (0x03),Thomson Inc.
94.214.65.38,8000124c057077816032a333,89,495880,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
152.89.6.163,800000090300d4e8805c2d80,12,7678499,9.0,00d4e8805c2d80,ciscoSystems
95.99.176.1,502660000000010030000144,7,50155392,1344692224.0,not_set,
94.210.38.0,8000000903006c410e153000,10,33651903,9.0,006c410e153000,ciscoSystems
94.209.174.239,8000124c05906ebbc44fbc33,43,26377,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
94.215.13.208,8000124c05bc85562249ee33,113,1201024,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
93.117.204.113,8000000903003891b7a36c00,10,47528480,9.0,003891b7a36c00,ciscoSystems
94.231.251.15,8000000903000021d8bde810,8,161928503,9.0,000021d8bde810,ciscoSystems
89.255.4.242,800000090300a49bcd855090,1,39127722,9.0,00a49bcd855090,ciscoSystems
141.98.2.33,800000090300f04a0259ac80,6,122181114,9.0,00f04a0259ac80,ciscoSystems
92.65.184.112,800000090300002cc802fd10,1,63051630,9.0,00002cc802fd10,ciscoSystems
93.117.193.21,8000000903007411b2a8b300,36,9074622,9.0,007411b2a8b300,ciscoSystems
145.131.207.73,800063a2807848595169fe00000001,1,23903713,25506.0,No Mac indication (0x03),H3C
86.109.13.26,1c46ad5db9018f3625e9437dd2d52bbb1313e5339937ba4d8dad6b2bdcbc51a6,57,19822246,474393949.0,not_set,
92.68.73.112,8000304404464736304556544b3232303031333436,1745458983,3407430,12356.0,No Mac indication (0x03),"Fortinet, Inc."
92.70.54.105,8000000903000476b0aa2cd0,37,27844509,9.0,000476b0aa2cd0,ciscoSystems
93.117.205.229,800033870370fc8c6775b0,0,0,13191.0,70fc8c6775b0,OneAccess
139.28.201.224,80000009030040f078e67100,30,22643067,9.0,0040f078e67100,ciscoSystems
92.66.168.125,8000000903009077eeb26900,18,20412492,9.0,009077eeb26900,ciscoSystems
88.211.147.46,8000000903007cad4f786600,6,62678575,9.0,007cad4f786600,ciscoSystems
