IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
92.66.186.118,800000090300b8386189f188,8,17152718,9.0,00b8386189f188,ciscoSystems
89.20.95.82,80001f8880c6d27519a248c55f,22,36888823,8072.0,No Mac indication (0x03),net-snmp
89.255.59.30,800000090300cc167ea978f2,2,4814323,9.0,00cc167ea978f2,ciscoSystems
91.189.211.215,80000009030058ac78269080,11,99996951,9.0,0058ac78269080,ciscoSystems
92.118.206.8,f5717f7483efd7b10500,1,24652891,1970372468.0,No Mac indication (0x03),
92.71.255.137,80003a8c04,0,0,,invalid,
87.208.248.1,502660000000010030001009,2,61041269,1344692224.0,not_set,
92.68.135.162,80000009030070ca9b238bb6,19,17267972,9.0,0070ca9b238bb6,ciscoSystems
93.117.200.1,800000090300889cadda4780,12,13641008,9.0,00889cadda4780,ciscoSystems
92.108.57.0,80000009030000ebd5ed6800,13,29141736,9.0,0000ebd5ed6800,ciscoSystems
89.20.86.161,80000009030040ce495a00a4,9,12254058,9.0,0040ce495a00a4,ciscoSystems
87.208.104.0,050266000000001003000064,7,49791437,1344692224.0,not_set,
87.213.94.58,8000000903003c08f63e3d00,2,122837013,9.0,003c08f63e3d00,ciscoSystems
89.20.93.251,80001f88807227a26117c93e63,7,43152368,8072.0,No Mac indication (0x03),net-snmp
89.190.142.254,80000009030040b5c1bff000,12,92179267,9.0,0040b5c1bff000,ciscoSystems
91.103.21.33,800000090300ecf40c4fd66c,1,17673231,9.0,00ecf40c4fd66c,ciscoSystems
87.212.193.255,502660000000010030000039,11,50825849,1344692224.0,not_set,
89.207.29.131,800000090300a03d6fcb4200,5,266294075,9.0,00a03d6fcb4200,ciscoSystems
93.117.241.183,8000000903001006eddd6000,15,12174629,9.0,001006eddd6000,ciscoSystems
87.236.7.247,800000090300c014fe1ce680,51,42157374,9.0,00c014fe1ce680,ciscoSystems
92.67.14.199,80000009030080e01d8e5a48,2,2407866,9.0,0080e01d8e5a48,ciscoSystems
89.146.26.240,80000009030064f69d6e54a0,4,73993347,9.0,0064f69d6e54a0,ciscoSystems
91.213.53.28,8000000903004c5d3c8e2c00,16,24161927,9.0,004c5d3c8e2c00,ciscoSystems
93.117.198.33,800033870370fc8c58f450,0,0,13191.0,70fc8c58f450,OneAccess
92.64.21.120,80000009030000fcba56b714,4,47768933,9.0,0000fcba56b714,ciscoSystems
87.236.5.60,800000090300c464136fe31a,5,20212185,9.0,00c464136fe31a,ciscoSystems
93.92.27.77,0000000903005c3e06c2ab20,3,34724656,9.0,not_set,ciscoSystems
91.189.211.51,800000090300500f8054d200,19,6796958,9.0,00500f8054d200,ciscoSystems
93.92.30.149,0000000903005c3e06c2abe6,9,25427580,9.0,not_set,ciscoSystems
91.221.150.8,80001f8880d35ec342e91d365800000000,63,4833669,8072.0,No Mac indication (0x03),net-snmp
93.117.206.192,800000090300cc7f766c8200,22,6742443,9.0,00cc7f766c8200,ciscoSystems
89.146.10.120,80000009030088f031a1da36,2,15526058,9.0,0088f031a1da36,ciscoSystems
93.117.243.109,800007db0380b5755a6efc,46,41977285,2011.0,80b5755a6efc,"HUAWEI Technology Co.,Ltd"
87.212.81.1,502660000000010030000046,8,50309109,1344692224.0,not_set,
92.68.210.49,80001f8804353534376462633162316238,14,9712822,8072.0,No Mac indication (0x03),net-snmp
92.64.97.80,80001f88031056ca1b3bec,3,251919,8072.0,1056ca1b3bec,net-snmp
87.212.241.0,502660000000010030000087,11,50482478,1344692224.0,not_set,
92.70.249.49,8000000903006c8d77bf3480,23,7428507,9.0,006c8d77bf3480,ciscoSystems
92.48.254.2,80000009034c0082d32f00,0,0,9.0,4c0082d32f00,ciscoSystems
87.213.94.226,8000000903007411b2ff6792,1,21151074,9.0,007411b2ff6792,ciscoSystems
92.109.204.234,8000124c05906ebbc3c0e833,13,175896,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
93.117.251.237,8000000903003891b7b2a280,22,16382245,9.0,003891b7b2a280,ciscoSystems
93.117.220.248,8000000903005cb12ef7a180,5,17617588,9.0,005cb12ef7a180,ciscoSystems
93.92.24.95,80000009030028940ff77cc0,4,158627519,9.0,0028940ff77cc0,ciscoSystems
87.195.106.63,8000000903000014f2f99e04,18,51621141,9.0,000014f2f99e04,ciscoSystems
91.214.47.210,80001f88800519161bef5a5f6600000000,29,129264,8072.0,No Mac indication (0x03),net-snmp
92.65.74.235,00000009020000024b7d8d6f,5,31014098,9.0,not_set,ciscoSystems
91.198.234.190,8000000903a4530e23dd0a,0,0,9.0,a4530e23dd0a,ciscoSystems
92.70.54.107,8000000903000476b0aa2cd0,37,28172115,9.0,000476b0aa2cd0,ciscoSystems
92.64.5.219,8000000903003c13cc4b69c0,19,22682426,9.0,003c13cc4b69c0,ciscoSystems
