IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
145.53.58.198,8741.0,18b169a06494,2320767,18,"SonicWALL, Inc.",06_02_16_48_04,05_06_2025_20_08_37
94.211.177.184,4684.0,No Mac indication (0x03),765341,196,Ambit Microsystems Corporation,06_02_16_48_38,05_24_2025_20_12_57
94.211.51.176,4684.0,No Mac indication (0x03),3204309,75,Ambit Microsystems Corporation,06_02_16_48_38,04_26_2025_14_43_29
93.180.68.98,1991.0,0012f29c3300,129443545,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_16_13
94.208.200.105,4684.0,No Mac indication (0x03),2746471,140,Ambit Microsystems Corporation,06_02_16_48_38,05_01_2025_21_54_07
94.211.130.160,2863.0,No Mac indication (0x03),2288219,1,Thomson Inc.,06_02_16_48_38,05_07_2025_05_11_39
95.178.106.190,25506.0,3ce5a6e4febd,106070723,43,H3C,06_02_16_48_38,01_22_2022_00_43_15
94.210.188.212,2863.0,No Mac indication (0x03),1336725,1,Thomson Inc.,06_02_16_48_38,05_18_2025_05_29_53
95.99.68.1,1344692224.0,not_set,50163405,11,unknown,06_02_16_48_38,10_31_2023_02_31_53
94.210.54.6,2863.0,No Mac indication (0x03),232913,1,Thomson Inc.,06_02_16_48_38,05_31_2025_00_06_45
94.214.68.189,4684.0,No Mac indication (0x03),1796419,68,Ambit Microsystems Corporation,06_02_16_48_38,05_12_2025_21_48_19
94.211.89.197,2863.0,No Mac indication (0x03),3183593,1,Thomson Inc.,06_02_16_48_38,04_26_2025_20_28_45
94.211.241.32,2863.0,No Mac indication (0x03),2298439,1,Thomson Inc.,06_02_16_48_38,05_07_2025_02_21_19
94.211.87.4,4684.0,No Mac indication (0x03),10739,180,Ambit Microsystems Corporation,06_02_16_48_38,06_02_2025_13_49_39
94.215.112.130,4684.0,No Mac indication (0x03),208587,724,Ambit Microsystems Corporation,06_02_16_48_38,05_31_2025_06_52_11
109.72.93.194,1991.0,0012f29c3300,129443565,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_15_53
93.186.185.179,1588.0,No Mac indication (0x03),122972907,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_2021_09_40_11
95.97.12.166,12356.0,No Mac indication (0x03),7788927,1741085853,"Fortinet, Inc.",06_02_16_48_38,03_04_2025_13_13_11
95.98.246.0,1344692224.0,not_set,49385627,9,unknown,06_02_16_48_38,11_09_2023_02_34_51
95.128.7.94,1588.0,No Mac indication (0x03),107277719,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_08_2022_01_26_39
94.211.189.160,2863.0,No Mac indication (0x03),2761393,1,Thomson Inc.,06_02_16_48_38,05_01_2025_17_45_25
95.97.71.66,8741.0,18b169d1da2c,3400671,58,"SonicWALL, Inc.",06_02_16_48_38,04_24_2025_08_10_47
94.210.133.164,2863.0,No Mac indication (0x03),1987801,1,Thomson Inc.,06_02_16_48_38,05_10_2025_16_38_37
93.180.71.12,1970372352.0,No Mac indication (0x03),160325661,7,unknown,06_02_16_48_38,05_04_2020_01_54_17
94.208.95.198,4684.0,No Mac indication (0x03),1691565,64,Ambit Microsystems Corporation,06_02_16_48_38,05_14_2025_02_55_53
94.211.157.77,4684.0,No Mac indication (0x03),1963079,108,Ambit Microsystems Corporation,06_02_16_48_38,05_10_2025_23_30_39
95.98.112.1,1344692224.0,not_set,65887611,4,unknown,06_02_16_48_38,05_02_2023_02_41_47
94.213.134.14,2863.0,No Mac indication (0x03),854857,1,Thomson Inc.,06_02_16_48_38,05_23_2025_19_21_01
93.186.184.129,1588.0,No Mac indication (0x03),44233291,0,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_07_2024_17_47_07
94.210.143.68,2863.0,No Mac indication (0x03),80079,1,Thomson Inc.,06_02_16_48_38,06_01_2025_18_33_59
94.209.126.17,4684.0,No Mac indication (0x03),103187,86,Ambit Microsystems Corporation,06_02_16_48_38,06_01_2025_12_08_51
93.186.188.89,1588.0,No Mac indication (0x03),122972977,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_2021_09_39_01
94.214.40.178,2863.0,No Mac indication (0x03),1120865,1,Thomson Inc.,06_02_16_48_38,05_20_2025_17_27_33
94.214.194.115,2863.0,No Mac indication (0x03),4262255,1,Thomson Inc.,06_02_16_48_38,04_14_2025_08_51_03
95.155.189.98,12356.0,No Mac indication (0x03),6326065,1742549141,"Fortinet, Inc.",06_02_16_48_38,03_21_2025_11_34_13
93.186.185.163,1588.0,No Mac indication (0x03),70139043,3,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_2023_21_44_35
95.99.111.255,1344692224.0,not_set,57772149,9,unknown,06_02_16_48_38,08_04_2023_00_59_29
94.209.71.237,2863.0,No Mac indication (0x03),434789,1,Thomson Inc.,06_02_16_48_38,05_28_2025_16_02_09
95.99.102.1,1344692224.0,not_set,49385679,9,unknown,06_02_16_48_38,11_09_2023_02_33_59
95.98.48.0,1344692224.0,not_set,49473425,6,unknown,06_02_16_48_38,11_08_2023_02_11_33
109.72.89.2,1991.0,0012f29c3300,129443623,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_14_55
94.215.72.55,4684.0,No Mac indication (0x03),3582439,92,Ambit Microsystems Corporation,06_02_16_48_38,04_22_2025_05_41_19
94.209.126.110,4684.0,No Mac indication (0x03),1118555,361,Ambit Microsystems Corporation,06_02_16_48_38,05_20_2025_18_06_03
95.98.165.255,1344692224.0,not_set,49386339,6,unknown,06_02_16_48_38,11_09_2023_02_22_59
109.72.88.147,1991.0,0012f29c3300,129443629,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_14_49
93.186.184.225,1588.0,No Mac indication (0x03),122973025,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_2021_09_38_13
93.174.93.1,1970372420.0,No Mac indication (0x03),21013889,4,unknown,06_02_16_48_38,10_02_2024_11_37_09
94.214.255.131,4684.0,No Mac indication (0x03),1497197,186,Ambit Microsystems Corporation,06_02_16_48_38,05_16_2025_08_55_21
95.98.223.255,1344692224.0,not_set,50507271,6,unknown,06_02_16_48_38,10_27_2023_03_00_47
94.214.84.134,2863.0,No Mac indication (0x03),19339,1,Thomson Inc.,06_02_16_48_38,06_02_2025_11_26_19
93.186.191.131,1588.0,No Mac indication (0x03),44229867,0,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_07_2024_18_44_11
109.72.82.2,1991.0,0012f29c3300,129443783,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_12_15
94.215.13.134,4684.0,No Mac indication (0x03),1887933,105,Ambit Microsystems Corporation,06_02_16_48_38,05_11_2025_20_23_05
94.102.49.1,1970372420.0,No Mac indication (0x03),21014047,4,unknown,06_02_16_48_38,10_02_2024_11_34_31
93.186.184.65,1588.0,No Mac indication (0x03),70140803,6,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_2023_21_15_15
94.213.5.50,2863.0,No Mac indication (0x03),964283,1,Thomson Inc.,06_02_16_48_38,05_22_2025_12_57_15
94.208.201.43,2863.0,No Mac indication (0x03),1760019,1,Thomson Inc.,06_02_16_48_38,05_13_2025_07_54_59
94.214.194.73,4684.0,No Mac indication (0x03),843589,159,Ambit Microsystems Corporation,06_02_16_48_38,05_23_2025_22_28_49
95.99.252.0,1344692224.0,not_set,50510447,6,unknown,06_02_16_48_38,10_27_2023_02_07_51
94.210.128.165,4684.0,No Mac indication (0x03),3577729,123,Ambit Microsystems Corporation,06_02_16_48_38,04_22_2025_06_59_49
95.128.2.195,1916.0,748ef8a91c00,632571,147,Extreme Networks,06_02_16_48_38,05_26_2025_09_05_47
94.211.105.156,2863.0,No Mac indication (0x03),3952185,1,Thomson Inc.,06_02_16_48_38,04_17_2025_22_58_53
94.210.18.132,4684.0,No Mac indication (0x03),2008997,39,Ambit Microsystems Corporation,06_02_16_48_38,05_10_2025_10_45_21
94.211.42.209,4684.0,No Mac indication (0x03),228547,31,Ambit Microsystems Corporation,06_02_16_48_38,05_31_2025_01_19_31
95.98.156.1,1344692224.0,not_set,49992221,7,unknown,06_02_16_48_38,11_02_2023_02_04_57
94.209.93.131,2863.0,No Mac indication (0x03),1168407,1,Thomson Inc.,06_02_16_48_38,05_20_2025_04_15_11
95.98.224.1,1344692224.0,not_set,50599505,10,unknown,06_02_16_48_38,10_26_2023_01_23_33
95.99.83.255,1344692224.0,not_set,57771783,7,unknown,06_02_16_48_38,08_04_2023_01_05_35
94.215.196.168,4684.0,No Mac indication (0x03),1360919,301,Ambit Microsystems Corporation,06_02_16_48_38,05_17_2025_22_46_39
94.102.55.129,1970372420.0,No Mac indication (0x03),21014129,4,unknown,06_02_16_48_38,10_02_2024_11_33_09
94.211.147.196,2863.0,No Mac indication (0x03),1644061,1,Thomson Inc.,06_02_16_48_38,05_14_2025_16_07_37
94.208.182.252,4684.0,No Mac indication (0x03),2344911,71,Ambit Microsystems Corporation,06_02_16_48_38,05_06_2025_13_26_47
94.213.63.173,2863.0,No Mac indication (0x03),1124395,1,Thomson Inc.,06_02_16_48_38,05_20_2025_16_28_43
94.210.74.171,4684.0,No Mac indication (0x03),2265633,51,Ambit Microsystems Corporation,06_02_16_48_38,05_07_2025_11_28_05
94.142.215.106,12356.0,No Mac indication (0x03),275761,1717963905,"Fortinet, Inc.",06_02_16_48_38,05_30_2025_12_12_37
94.211.156.242,4684.0,No Mac indication (0x03),1483939,101,Ambit Microsystems Corporation,06_02_16_48_38,05_16_2025_12_36_19
95.97.79.74,8741.0,18b1691028bc,4203495,7,"SonicWALL, Inc.",06_02_16_48_38,04_15_2025_01_10_23
95.99.128.255,1344692224.0,not_set,49903729,8,unknown,06_02_16_48_38,11_03_2023_02_39_49
94.215.139.12,2863.0,No Mac indication (0x03),676095,1,Thomson Inc.,06_02_16_48_38,05_25_2025_21_00_23
94.210.102.41,2863.0,No Mac indication (0x03),2288629,1,Thomson Inc.,06_02_16_48_38,05_07_2025_05_04_49
94.211.124.163,2863.0,No Mac indication (0x03),269017,1,Thomson Inc.,06_02_16_48_38,05_30_2025_14_05_01
94.209.16.132,2863.0,No Mac indication (0x03),1131521,1,Thomson Inc.,06_02_16_48_38,05_20_2025_14_29_57
94.215.8.140,4684.0,No Mac indication (0x03),740495,27,Ambit Microsystems Corporation,06_02_16_48_38,05_25_2025_03_07_03
93.186.183.65,1588.0,No Mac indication (0x03),70140945,6,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_2023_21_12_53
94.157.104.1,1344692224.0,not_set,65112489,5,unknown,06_02_16_48_38,05_11_2023_02_00_29
94.210.115.198,4684.0,No Mac indication (0x03),955135,237,Ambit Microsystems Corporation,06_02_16_48_38,05_22_2025_15_29_43
109.72.87.196,1991.0,000cdbf9cf00,158277943,634,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,05_27_2020_18_42_55
94.208.48.11,4684.0,No Mac indication (0x03),2342927,53,Ambit Microsystems Corporation,06_02_16_48_38,05_06_2025_13_59_51
94.209.214.72,4684.0,No Mac indication (0x03),3421885,271833,Ambit Microsystems Corporation,06_02_16_48_38,04_24_2025_02_17_13
109.72.81.2,1991.0,0012f29c3300,129443961,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_2021_12_09_17
94.210.22.251,4684.0,No Mac indication (0x03),3835757,30,Ambit Microsystems Corporation,06_02_16_48_38,04_19_2025_07_19_21
103.75.71.65,1970372500.0,No Mac indication (0x03),38662149,8,unknown,06_02_16_48_38,03_12_2024_05_19_29
94.211.120.76,4684.0,No Mac indication (0x03),93385,95,Ambit Microsystems Corporation,06_02_16_48_38,06_01_2025_14_52_13
94.208.113.237,4684.0,No Mac indication (0x03),3266649,78,Ambit Microsystems Corporation,06_02_16_48_38,04_25_2025_21_24_29
94.210.14.211,4684.0,No Mac indication (0x03),2900545,69,Ambit Microsystems Corporation,06_02_16_48_38,04_30_2025_03_06_13
