IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
93.180.68.98,1991.0,0012f29c3300,129443545,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_16_13
95.178.106.190,25506.0,3ce5a6e4febd,106070723,43,H3C,06_02_16_48_38,01_22_22_00_43_15
95.99.68.1,1344692224.0,not_set,50163405,11,unknown,06_02_16_48_38,10_31_23_02_31_53
109.72.93.194,1991.0,0012f29c3300,129443565,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_15_53
93.186.185.179,1588.0,No Mac indication (0x03),122972907,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_21_09_40_11
95.98.246.0,1344692224.0,not_set,49385627,9,unknown,06_02_16_48_38,11_09_23_02_34_51
95.128.7.94,1588.0,No Mac indication (0x03),107277719,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_08_22_01_26_39
93.180.71.12,1970372352.0,No Mac indication (0x03),160325661,7,unknown,06_02_16_48_38,05_04_20_01_54_17
95.98.112.1,1344692224.0,not_set,65887611,4,unknown,06_02_16_48_38,05_02_23_02_41_47
93.186.184.129,1588.0,No Mac indication (0x03),44233291,0,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_07_24_17_47_07
93.186.188.89,1588.0,No Mac indication (0x03),122972977,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_21_09_39_01
93.186.185.163,1588.0,No Mac indication (0x03),70139043,3,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_23_21_44_35
95.99.111.255,1344692224.0,not_set,57772149,9,unknown,06_02_16_48_38,08_04_23_00_59_29
95.99.102.1,1344692224.0,not_set,49385679,9,unknown,06_02_16_48_38,11_09_23_02_33_59
95.98.48.0,1344692224.0,not_set,49473425,6,unknown,06_02_16_48_38,11_08_23_02_11_33
109.72.89.2,1991.0,0012f29c3300,129443623,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_14_55
95.98.165.255,1344692224.0,not_set,49386339,6,unknown,06_02_16_48_38,11_09_23_02_22_59
109.72.88.147,1991.0,0012f29c3300,129443629,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_14_49
