Vendor,Count
unknown,2119
"Brocade Communications Systems, Inc.",639
H3C,390
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",353
Nokia (formerly 'Alcatel-Lucent'),246
Compaq,208
"Fortinet, Inc.",99
"SonicWALL, Inc.",55
Broadcom Limited,50
Hewlett-Packard,48
"Ericsson, Inc. (formerly 'RedBack Networks')",32
Dell Inc.,24
"NetScreen Technologies, Inc.",24
"U.C. Davis, ECE Dept. Tom",22
The FreeBSD Project,22
FS.COM INC,18
"Aruba, a Hewlett Packard Enterprise company",13
OneAccess,7
SNMP Research,7
Netgear,6
WatchGuard Technologies Inc.,5
"Casa Systems, Inc.",5
Meinberg,3
"Raritan Computer, Inc.",3
LANCOM Systems,3
Realtek Semiconductor corp.,3
OpenBSD Project,3
Zeus Technology Ltd,3
"Ubiquiti Networks, Inc.",2
BinTec Communications GmbH,2
American Power Conversion Corp.,2
Extreme Networks,1
Avocent Corporation,1
"ATEN INTERNATIONAL CO., LTD.",1
"Force10 Networks, Inc.",1
ACCTON Technology,1
Siemens AG,1
Netscaler,1
Vertiv (formerly 'Emerson Computer Power'),1
"Moxa Technologies Co., Ltd.",1
VMware Inc.,1
Microsoft,1
3Com,1
Hewlett Packard Enterprise,1
