"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'eth0'
** (tshark:1452) 16:19:34.917703 [Main MESSAGE] -- Capture started.
"** (tshark:1452) 16:19:34.917758 [Main MESSAGE] -- File: ""/tmp/wireshark_eth0MKWZ62.pcapng"""
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
145.128.216.169;8000000903002c3311caa622;5;136143443
145.145.22.2;800000090300081ff31ea701;2;96495409
145.128.233.97;8000000903002c5741b5ac00;10;6450971
145.128.243.128;80000009ee005c5ac76e63cf;7;42086248
145.131.207.23;800000090300d8b1904b0f3c;3;27874843
145.128.241.30;80000009ee005c5ac76e63cf;7;42086249
145.128.192.239;800000090300a0ecf94c0070;11;73671905
145.131.69.143;800000090300002a108ad998;3;28000456
145.131.244.143;80001f88802b015848fbaee666;1;22479867
145.131.173.25;80000009030000233313f440;7;18132375
145.128.244.30;80000009ee000008e3fffc2c;1;39747616
145.131.154.195;800000090300f40f1bc68e50;5;58588094
145.128.241.108;80000009ee005c5ac76e63cf;7;42086249
145.131.158.114;800000090300b0c53c7adf80;12;6448398
145.128.160.123;8000222503c0eae46ed978;14;1066321
145.131.155.33;800000090300000bbf270000;12;82664082
145.128.160.31;800000090300706e6d70d2f0;15;4411977
145.131.15.36;80001f88807f909245c666345c00000000;12;60503547
145.131.132.195;8000000903002c5741b5ac00;10;6450974
145.128.240.21;80000009ee000008e3fffc10;1;113466757
145.131.138.255;800000090300885a926cbfc0;2;1216909
145.128.241.112;80000009ee005c5ac76e63cf;7;42086253
145.128.246.247;80000009ee000008e3fffc14;1;113468148
145.131.108.107;8000000903002cd02d2118f0;2;4155499
145.128.160.160;80000009030060735c4aa4b0;4;4947524
145.131.156.254;800000090300706bb99a7654;6;47114091
145.145.26.98;8000000903004ce175172520;20;35628796
145.128.202.107;00000009020000024b7d8d6f;8;36760983
145.128.240.55;80000009ee000008e3fffc0c;1;113466834
145.128.176.47;8000000903002c5a0f8a8810;2;43876866
145.128.202.151;8000000903002c3311cab346;2;15535810
145.131.244.92;8000304404464754363046544b323130394432314c;1744184386;4689410
145.131.98.28;00000009020000024b7d8d6f;11;42957672
145.131.233.160;80000009030010f311a232a0;3;969896
145.128.242.4;80000009ee000008e3fffc2c;1;39747625
145.131.64.52;8000000903001c6a7a53ca92;7;3085045
145.128.243.242;80000009ee000008e3fffc2c;1;39747628
145.131.72.168;800000090300e8b7486c4748;4;3303810
145.131.173.0;8000000903003c13cc485f00;24;24734640
145.128.161.99;00000009020000024b7d8d6f;6;4760668
145.131.192.225;8000000903002c5741b5ac00;10;6450984
145.128.242.102;80000009ee000008e3fffc2c;1;39747629
145.131.221.216;8000000903002c4f52e66200;41;46844295
145.131.156.0;800000090300706bb99a7654;6;47114103
145.131.90.82;80001f888003a9702126db8a60;26;18043628
145.131.215.184;80000009030064f69d6e54a0;4;73673057
145.128.241.208;80000009ee000008e3fffc04;5;72464490
145.131.150.10;80003a8c04;0;0
