IP,asn_num,asn_description,asn_country,asn_date,cidr
145.53.58.198,1136,Networking,NL,1993-09-01,145.53.0.0/16
94.211.177.184,33915,Networking,NL,2008-07-22,94.211.176.0/21
94.211.51.176,33915,Networking,NL,2008-07-22,94.211.48.0/21
93.180.68.98,48635,Unknown,NL,2011-11-30,93.180.64.0/21
94.208.200.105,33915,Networking,NL,2008-07-22,94.208.200.0/21
94.211.130.160,33915,ISP Equipment,NL,2008-07-22,94.211.128.0/21
95.178.106.190,43350,Networking,NL,2009-01-15,95.178.106.0/24
94.210.188.212,33915,ISP Equipment,NL,2008-07-22,94.210.184.0/21
95.99.68.1,50266,Unknown,NL,2009-01-12,95.99.0.0/16
94.210.54.6,33915,ISP Equipment,NL,2008-07-22,94.210.48.0/21
94.214.68.189,33915,Networking,NL,2008-07-22,94.214.64.0/21
94.211.89.197,33915,ISP Equipment,NL,2008-07-22,94.211.88.0/21
94.211.241.32,33915,ISP Equipment,NL,2008-07-22,94.211.240.0/21
94.211.87.4,33915,Networking,NL,2008-07-22,94.211.80.0/21
94.215.112.130,33915,Networking,NL,2008-07-22,94.215.112.0/20
109.72.93.194,48635,Unknown,NL,2009-09-10,109.72.80.0/20
93.186.185.179,20559,Networking,NL,2008-07-01,93.186.185.176/28
95.97.12.166,33915,Networking,NL,2009-01-12,95.97.0.0/17
95.98.246.0,50266,Unknown,NL,2009-01-12,95.98.0.0/16
95.128.7.94,15966,Networking,NL,2009-01-16,95.128.7.64/27
94.211.189.160,33915,ISP Equipment,NL,2008-07-22,94.211.184.0/21
95.97.71.66,33915,Networking,NL,2009-01-12,95.97.0.0/17
94.210.133.164,33915,ISP Equipment,NL,2008-07-22,94.210.128.0/21
93.180.71.12,48635,Unknown,NL,2011-11-30,93.180.64.0/21
94.208.95.198,33915,Networking,NL,2008-07-22,94.208.88.0/21
94.211.157.77,33915,Networking,NL,2008-07-22,94.211.152.0/21
