saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
94.212.65.245,4114732126,145.94.229.153,2581946001,52219,52,udp,1,161,43479,111,3065020103300e02024a6902020578040100020103041e301c040c80000b2f0580299470d2f43302010102032bbf9d0400040004003030040c80000b2f0580299470d2f4330400a81e020237f002010002010030123010060a2b060106030f01010400410200dd,,,,,0,0,2025-06-02T14:10:29.260+0200,1748866229,260766
89.20.65.59,994120793,145.94.229.153,2581946001,64898,246,udp,1,161,42713,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300b0aa778082fc02010502034f05760400040004003030040c800000090300b0aa778082fc0400a81e020237f002010002010030123010060a2b060106030f01010400410204b4,,,,,0,0,2025-06-02T14:10:29.285+0200,1748866229,285880
144.178.111.64,1081062032,145.94.229.153,2581946001,44302,245,udp,1,161,33126,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030000fd22244595020105020400d01a990400040004003030040c80000009030000fd222445950400a81e020237f002010002010030123010060a2b060106030f0101040041022333,,,,,0,0,2025-06-02T14:10:29.676+0200,1748866229,676207
89.20.94.177,2975732825,145.94.229.153,2581946001,57932,248,udp,1,161,49485,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030070708b958166020102020400e1929d0400040004003030040c80000009030070708b9581660400a81e020237f002010002010030123010060a2b060106030f0101040041020ce1,,,,,0,0,2025-06-02T14:10:29.992+0200,1748866229,992602
154.14.53.147,2469727898,145.94.229.153,2581946001,64046,245,udp,1,161,49013,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300700f6abd5ac1020101020405b1ee510400040004003030040c800000090300700f6abd5ac10400a81e020237f002010002010030123010060a2b060106030f01010400410243b6,,,,,0,0,2025-06-02T14:10:30.139+0200,1748866230,139813
109.109.103.199,3345444205,145.94.229.153,2581946001,26680,246,udp,1,161,36837,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903007c210e058f0002011b0204017144a20400040004003031040c8000000903007c210e058f000400a81f020237f002010002010030133011060a2b060106030f010104004103033427,,,,,0,0,2025-06-02T14:10:30.243+0200,1748866230,243563
94.210.21.1,18207326,145.94.229.153,2581946001,1314,243,udp,1,161,43890,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903006c410e8fb800020108020401cb7bd30400040004003031040c8000000903006c410e8fb8000400a81f020237f002010002010030133011060a2b060106030f01010400410304bfba,,,,,0,0,2025-06-02T14:10:30.668+0200,1748866230,668570
92.64.74.127,2135572572,145.94.229.153,2581946001,55125,245,udp,1,161,59754,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300002a10da8cf0020106020406d088060400040004003030040c800000090300002a10da8cf00400a81e020237f002010002010030123010060a2b060106030f0101040041024981,,,,,0,0,2025-06-02T14:10:30.916+0200,1748866230,916596
109.109.101.216,3630525805,145.94.229.153,2581946001,18156,247,udp,1,161,33295,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300b0c53ce4ad80020122020401ef18da0400040004003031040c800000090300b0c53ce4ad800400a81f020237f002010002010030133011060a2b060106030f010104004103159a32,,,,,0,0,2025-06-02T14:10:30.997+0200,1748866230,997626
92.64.238.131,2213429340,145.94.229.153,2581946001,44861,244,udp,1,161,38724,112,3066020103300e02024a69020205dc040100020103041f301d040c00000009020000024b7d8d6f0201150204010fc4560400040004003030040c00000009020000024b7d8d6f0400a81e020237f002010002010030123010060a2b060106030f010104004102107b,,,,,0,0,2025-06-02T14:10:31.305+0200,1748866231,305009
