ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
144.178.250.97,800000090300588b1c9d1600,44,1884740,9,00588b1c9d1600
87.195.27.10,80001f8880206f8d40c96e1e4d,18,2300536,8072,No Mac indication (0x03)
95.99.56.0,502660000000010030000085,6,49985702,1344692224,not_set
92.70.241.129,80000009030000fcba99f270,13,2613111,9,0000fcba99f270
89.99.190.162,80000b2f05e0885dbf800933,1,2574029,2863,No Mac indication (0x03)
92.67.114.89,800000090300002a103c0b34,2,74537267,9,00002a103c0b34
89.20.94.147,800000090300c44d84f2f480,14,92195403,9,00c44d84f2f480
93.117.218.103,800007db03d8109fc2ead4,14,24115769,2011,d8109fc2ead4
154.14.44.9,800000090300000000000000,1,31116986,9,00000000000000
95.168.161.22,80001f88808a47656c5213a56400000000,9,58102,8072,No Mac indication (0x03)
94.103.145.29,8000000903000005740fb2bc,8,191951696,9,000005740fb2bc
145.128.243.120,80000009ee005c5ac76e63cf,7,41564618,9,No Mac indication (0x03)
92.70.22.225,800000090300d4789b7cab96,2,1677016,9,00d4789b7cab96
149.143.58.139,80001f88031056ca17d8e0,1,602120,8072,1056ca17d8e0
145.131.159.183,80000009ee000008e3fffc08,3,52589976,9,No Mac indication (0x03)
94.210.23.1,800000090300285261fabc00,12,29512947,9,00285261fabc00
93.190.140.148,80001f88803d1eb24ff36fb46600000000,2,25250908,8072,No Mac indication (0x03)
109.109.117.36,80000009030028affd10b000,16,11123824,9,0028affd10b000
89.38.97.46,80001f8880ef500a7464c1456700000000,11,949283,8072,No Mac indication (0x03)
92.48.192.87,80001f888080634e58b79b596300000000,20,15183120,8072,No Mac indication (0x03)
87.238.170.23,8000000903000845d1b3a300,4,67582103,9,000845d1b3a300
145.102.244.112,8000000903005006ab639200,31,24650248,9,005006ab639200
145.128.241.126,80000009ee000008e3fffc2c,1,39225986,9,No Mac indication (0x03)
92.67.231.153,80003a8c04,0,0,invalid,invalid
89.207.25.68,800000090300f86bd92aba00,10,1231134,9,00f86bd92aba00
109.109.108.89,800000090300e8eb34c9fd00,13,36348897,9,00e8eb34c9fd00
94.213.198.1,800000090300f4bd9ee39c00,11,29078021,9,00f4bd9ee39c00
89.146.44.208,800000090300a0ecf94c0070,11,73150275,9,00a0ecf94c0070
