IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
185.107.80.82,80001f88804cf3de2cdf0df76300000000,9,5811799,8072.0,No Mac indication (0x03),net-snmp
185.34.168.47,800000090300482e72fe6980,16,12333126,9.0,00482e72fe6980,ciscoSystems
185.18.236.63,80001f88809e227a482be9865600000000,75,37337957,8072.0,No Mac indication (0x03),net-snmp
185.14.31.6,80003a8c04,0,0,,invalid,
188.207.231.71,80000009030080e01d4536ec,2,4512159,9.0,0080e01d4536ec,ciscoSystems
185.44.95.211,800000090300380e4dc94080,29,46533796,9.0,00380e4dc94080,ciscoSystems
188.202.56.137,800000090300cc46d69dd0a8,2,69356710,9.0,00cc46d69dd0a8,ciscoSystems
185.34.179.214,800000090300588b1c9ab280,2,4503573,9.0,00588b1c9ab280,ciscoSystems
185.102.47.98,8000000903006c416acf4d36,10,5885393,9.0,006c416acf4d36,ciscoSystems
185.238.52.144,80000009030084b802b482e0,13,74032749,9.0,0084b802b482e0,ciscoSystems
175.110.113.245,80001f8880f0c25844e9ea906700000000,2,11312431,8072.0,No Mac indication (0x03),net-snmp
185.220.215.67,000000090300f04a02ff80a2,10,38662532,9.0,not_set,ciscoSystems
185.113.214.13,800000090300000000000000,3,111947446,9.0,00000000000000,ciscoSystems
185.98.55.197,8000000903885a92de18c0,0,0,9.0,885a92de18c0,ciscoSystems
185.34.170.175,800000090300482e72fe6e80,6,41080445,9.0,00482e72fe6e80,ciscoSystems
159.100.90.9,800033870370fc8c161240,0,0,13191.0,70fc8c161240,OneAccess
185.173.162.20,800022250318b1693ccce4,4,329923,8741.0,18b1693ccce4,"SonicWALL, Inc."
185.253.48.199,800000090300bc26c7d9a3a8,2,48050783,9.0,00bc26c7d9a3a8,ciscoSystems
185.62.118.17,000000090300cced4dbbb7d0,3,7067199,9.0,not_set,ciscoSystems
185.203.190.241,800000090300a00f37d7d800,12,2202234,9.0,00a00f37d7d800,ciscoSystems
178.238.111.135,80000009030064d989c1ee01,12,106504455,9.0,0064d989c1ee01,ciscoSystems
161.51.66.202,80000009030070c9c6891e80,2,60114254,9.0,0070c9c6891e80,ciscoSystems
176.74.229.64,800000090300b4de31dca40e,1,138678069,9.0,00b4de31dca40e,ciscoSystems
185.15.250.93,80000009030028c7ce2a61b6,1,30842717,9.0,0028c7ce2a61b6,ciscoSystems
188.116.23.17,80001f88801c8c623b15ccb06700000000,12,3542709,8072.0,No Mac indication (0x03),net-snmp
185.42.87.38,800000090300002a10738800,29,205851948,9.0,00002a10738800,ciscoSystems
185.223.36.77,00000009030034732d4b322c,23,39182494,9.0,not_set,ciscoSystems
188.227.206.140,80003a8c04,0,0,,invalid,
185.34.157.229,000000090300b8a37753197a,3,44109155,9.0,not_set,ciscoSystems
185.55.139.19,80000a4c015bc81002,8,3498457,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
178.85.87.255,80000009030000ebd5ed6800,13,28811001,9.0,0000ebd5ed6800,ciscoSystems
178.238.98.123,80003a8c04436f6d70,0,0,14988.0,No Mac indication (0x03),MikroTik
157.97.201.122,80000009030024161bb13600,18,3819234,9.0,0024161bb13600,ciscoSystems
185.254.42.162,8000000903006c416a8e4f32,1,2157035,9.0,006c416a8e4f32,ciscoSystems
185.223.92.1,80000009030028940fd12168,6,69461295,9.0,0028940fd12168,ciscoSystems
171.33.129.44,80000009030034ed1bdffa80,11,60966135,9.0,0034ed1bdffa80,ciscoSystems
185.94.239.13,f5717f985d82178e7500,3,97902504,1970372504.0,No Mac indication (0x03),
185.142.251.52,800000090300500f8052c100,17,17326376,9.0,00500f8052c100,ciscoSystems
185.61.70.0,80000009030010b3d52b2c80,83,16580569,9.0,0010b3d52b2c80,ciscoSystems
157.97.204.174,800007db0328a6db2cd118,8,27226259,2011.0,28a6db2cd118,"HUAWEI Technology Co.,Ltd"
185.234.154.3,800000090300643aea1d0100,16,70752388,9.0,00643aea1d0100,ciscoSystems
188.72.94.50,80003a8c04,0,0,,invalid,
159.100.97.175,800000090300e41f7b907a00,17,63445512,9.0,00e41f7b907a00,ciscoSystems
185.226.79.119,800000090300a84fb1b2df80,14,33834116,9.0,00a84fb1b2df80,ciscoSystems
185.98.53.56,8000000903a4934c8143c0,0,0,9.0,a4934c8143c0,ciscoSystems
178.255.48.71,8000000903000462736d55a4,5,9125128,9.0,000462736d55a4,ciscoSystems
185.56.141.36,800000090300c0f87f436530,24,34814950,9.0,00c0f87f436530,ciscoSystems
185.173.14.241,80003a8c04,0,0,,invalid,
185.89.154.164,800000090300500f8054d200,19,6466222,9.0,00500f8054d200,ciscoSystems
185.26.58.1,800000090300b0c53ce4ac80,10,31243261,9.0,00b0c53ce4ac80,ciscoSystems
185.203.190.129,800000090300c828e5514600,16,2179864,9.0,00c828e5514600,ciscoSystems
185.254.41.196,8000000903003c13ccee2880,10,134307132,9.0,003c13ccee2880,ciscoSystems
185.3.179.44,800000090300a44c115eb240,555,16834227,9.0,00a44c115eb240,ciscoSystems
185.107.189.70,80001f8880e114f9533300856600000000,1,28870750,8072.0,No Mac indication (0x03),net-snmp
171.33.131.130,8000000903004800b32c9000,5,10633051,9.0,004800b32c9000,ciscoSystems
185.252.194.5,800000090300d4c93c673480,73,40507396,9.0,00d4c93c673480,ciscoSystems
185.102.44.1,800000090300002a10c37100,10,104379695,9.0,00002a10c37100,ciscoSystems
185.254.42.60,800000090300bc1665966d48,1,8979793,9.0,00bc1665966d48,ciscoSystems
188.203.233.111,800000090300a46c2ad73001,2,21176236,9.0,00a46c2ad73001,ciscoSystems
157.97.221.126,80000009030024161b367880,16,1126998,9.0,0024161b367880,ciscoSystems
185.142.251.207,800000090300500f8052c100,17,17326376,9.0,00500f8052c100,ciscoSystems
157.97.241.146,800007db0378b46a608e67,18,616149,2011.0,78b46a608e67,"HUAWEI Technology Co.,Ltd"
185.219.193.120,800000090300b4de31a97236,3,25330985,9.0,00b4de31a97236,ciscoSystems
185.10.156.126,f5717f001c732fc48600,13,9107725,1970372352.0,No Mac indication (0x03),
185.91.93.2,80000a4c01b9ab3008,3,15731655,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
178.170.150.203,80003a8c04,0,0,,invalid,
185.221.159.189,80000009030024e9b385d448,1,21957072,9.0,0024e9b385d448,ciscoSystems
185.34.171.89,800000090300482e72fe6980,16,12333127,9.0,00482e72fe6980,ciscoSystems
185.89.154.104,80000009030058ac78269080,11,99666217,9.0,0058ac78269080,ciscoSystems
159.100.118.153,80000009030034b88376de80,8,43274689,9.0,0034b88376de80,ciscoSystems
159.100.112.209,800000090300889caddab780,20,418906,9.0,00889caddab780,ciscoSystems
159.100.94.69,80000009030074ad98c7b780,28,1126979,9.0,0074ad98c7b780,ciscoSystems
185.254.42.118,800000090300641225ed170e,2,1733651,9.0,00641225ed170e,ciscoSystems
185.9.255.1,8000000903000021d8bde810,8,161925362,9.0,000021d8bde810,ciscoSystems
185.34.157.112,800000090300b0c53ce4ac80,10,31243262,9.0,00b0c53ce4ac80,ciscoSystems
185.241.213.220,80001f888084314f42dcdb836600000000,253,2973611,8072.0,No Mac indication (0x03),net-snmp
188.92.59.93,8000000903007079b342c080,27,88733507,9.0,007079b342c080,ciscoSystems
176.74.254.128,800000090300ec30919e3703,5,86364589,9.0,00ec30919e3703,ciscoSystems
185.92.71.25,800000090300a8b456bd3180,8,202862225,9.0,00a8b456bd3180,ciscoSystems
188.200.159.111,80000009030080e01d8e785c,2,74628703,9.0,0080e01d8e785c,ciscoSystems
185.227.81.92,80001f888097cf042d07eae65c00000000,23,37207724,8072.0,No Mac indication (0x03),net-snmp
159.100.77.87,800000090300000000000000,2,22358441,9.0,00000000000000,ciscoSystems
185.241.190.25,8000000903c067af2f4a60,0,0,9.0,c067af2f4a60,ciscoSystems
188.92.58.15,80000009030070ca9b1accb0,20,77013398,9.0,0070ca9b1accb0,ciscoSystems
185.117.90.243,80001f8880fed23344af2a296700000000,10,4503295,8072.0,No Mac indication (0x03),net-snmp
188.92.63.244,8000222503c0eae490cd64,10,1697662,8741.0,c0eae490cd64,"SonicWALL, Inc."
185.199.188.105,8000000903002cd02d2671c2,2,12080130,9.0,002cd02d2671c2,ciscoSystems
185.228.80.1,f5717f444ca8c41efb00,4,21002150,1970372420.0,No Mac indication (0x03),
185.62.119.235,000000090300cced4dbbf610,3,7066733,9.0,not_set,ciscoSystems
185.62.118.49,000000090300cced4dbbb7d0,3,7067200,9.0,not_set,ciscoSystems
185.138.59.4,80000a4c01b98a3b04,5,36815826,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
185.90.199.101,f5717f444ca88d95d300,23,81493897,1970372420.0,No Mac indication (0x03),
