ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
37.153.235.214,80001f88801a82d80bdb4ed167,4,4309161,8072,No Mac indication (0x03)
31.149.144.1,800000090300e4387ed60780,8,2756285,9,00e4387ed60780
31.184.99.1,502660000000010030000102,10,48852117,1344692224,not_set
23.249.233.66,800000090300000000000000,6,50728007,9,00000000000000
31.149.153.17,80000009030000f28bb4f5be,2,2171422,9,0000f28bb4f5be
37.114.94.47,80000009030084b8025dc000,22,71336522,9,0084b8025dc000
37.48.89.32,80001f88802a6a7f7fbfcf606400000000,20,46138,8072,No Mac indication (0x03)
31.186.167.49,800000090300e4aa5dc51d4a,23,19798,9,00e4aa5dc51d4a
31.149.46.80,80000009030000351aed0a8c,2,5787937,9,0000351aed0a8c
37.203.58.251,800000090300d8b190ed0a20,1,9156287,9,00d8b190ed0a20
45.80.38.0,0000000903000024986fd0c8,9,79651172,9,not_set
5.159.33.239,800000090300f40f1b7a0170,9,136837796,9,00f40f1b7a0170
31.161.88.177,80000009030000fd22963d80,8,16247184,9,0000fd22963d80
31.20.20.1,502660000000031201007169,2,50150799,1344692224,not_set
31.160.165.7,800000090300f40f1b16c3a4,2,83608346,9,00f40f1b16c3a4
31.161.245.47,80000009030000f28b9e72c0,2,34217375,9,0000f28b9e72c0
37.26.227.148,000000090300cced4dbbb7d0,3,6544045,9,not_set
37.153.214.30,8000000903006c416affea62,8,12521370,9,006c416affea62
31.160.132.43,8000000903005c64f1351080,6,17976998,9,005c64f1351080
31.160.197.41,800000090300ecce139eae00,33,13659122,9,00ecce139eae00
31.3.12.217,80000009030058ac78268c80,16,4549989,9,0058ac78268c80
31.149.46.192,800000090300648f3eac7780,6,15612245,9,00648f3eac7780
31.149.103.200,80000009030080e01d4536d8,2,91057396,9,0080e01d4536d8
5.44.79.127,800000090300001ae2b8271b,7,357384680,9,00001ae2b8271b
31.160.75.176,800000090300706d156c01ac,2,6404558,9,00706d156c01ac
31.160.31.167,8000000903002c4f5251e2c8,2,39729626,9,002c4f5251e2c8
23.249.232.217,800000090300e4d3f18bdff0,5,5358266,9,00e4d3f18bdff0
37.153.246.119,800000090300c067af0b9ef6,3,13918664,9,00c067af0b9ef6
45.11.164.121,80000009030000fcba49f379,5,132367441,9,0000fcba49f379
37.44.12.181,80001f8804303638393866353634383239,31,19574825,8072,No Mac indication (0x03)
31.149.133.209,800000090300d4c93cd17080,16,15629024,9,00d4c93cd17080
37.139.137.77,8000000903004c0082a07200,11,65291811,9,004c0082a07200
31.149.177.207,8000000903007079b3afaff4,2,7088992,9,007079b3afaff4
5.159.36.0,800000090300001e4a9f6ca8,4,199815283,9,00001e4a9f6ca8
31.160.198.205,800000090300f07f06d31724,1,124391345,9,00f07f06d31724
31.149.124.216,80000009030000c164e064a0,3,66046754,9,0000c164e064a0
5.253.37.240,f5717f444ca809654300,30,152341,1970372420,No Mac indication (0x03)
31.160.63.1,800000090300fcfbfb5ae701,4,338716,9,00fcfbfb5ae701
37.44.8.62,800000090300a44c1105af40,9,54179075,9,00a44c1105af40
31.149.139.23,8000000903002c4f52f570e6,2,5188730,9,002c4f52f570e6
23.249.237.239,800000090300000000000000,2,64711370,9,00000000000000
37.235.119.11,800000090300046273ea1d68,12,7008145,9,00046273ea1d68
37.153.230.9,800000090300d4e880c1d280,26,35033856,9,00d4e880c1d280
31.200.210.187,80000634b20400001014cbd196,3,69604197,1588,No Mac indication (0x03)
5.39.168.254,80000009032c3311a412f0,0,0,9,2c3311a412f0
31.160.8.191,800000090300cc167e9f2434,3,11470632,9,00cc167e9f2434
31.149.241.170,80001f8880e1606961ecf8346800000000,1,38333,8072,No Mac indication (0x03)
37.9.216.14,800000090300a0b43949cc00,12,42908462,9,00a0b43949cc00
23.249.233.74,80000009030078baf9a9a178,3,51244137,9,0078baf9a9a178
37.26.227.190,800000090300701f532ca981,29,23924477,9,00701f532ca981
31.161.39.209,800000090300a00f37789750,14,15292023,9,00a00f37789750
37.74.46.15,800000090300bc26c7674a6c,2,27419138,9,00bc26c7674a6c
31.149.38.177,80000009030020cfae98fc80,8,27131924,9,0020cfae98fc80
31.160.212.33,800000090300e4387ecdb380,13,12783427,9,00e4387ecdb380
31.161.255.225,800000090300007888be41e8,2,20051595,9,00007888be41e8
31.160.235.241,800000090300e4387ecdfd00,12,16261241,9,00e4387ecdfd00
31.186.166.185,800000090300e4aa5dc51d4a,23,19799,9,00e4aa5dc51d4a
31.149.136.103,800000090300c4f7d5148dbc,2,9420062,9,00c4f7d5148dbc
37.0.89.161,8000000903002c5741b5ac00,10,5917390,9,002c5741b5ac00
5.10.127.104,80000009034c0082fc5440,0,0,9,4c0082fc5440
37.114.91.29,0000000903005c3e06c2ab20,3,33870765,9,not_set
37.0.87.153,800000090300d4e880c1d280,26,35033856,9,00d4e880c1d280
31.149.38.226,80001f88808272934195436d3800000000,1,9689589,8072,No Mac indication (0x03)
45.81.220.214,80000009030024d79cd56c81,4,27053209,9,0024d79cd56c81
37.1.104.68,8000000903006c310e348f58,2,55957108,9,006c310e348f58
37.220.170.162,80000634b29e2000101471d8f7,4,10290851,1588,No Mac indication (0x03)
31.160.93.8,80000009030080e01d453e08,2,102039327,9,0080e01d453e08
24.132.48.0,80000009030000ebd5ed8400,9,27859056,9,0000ebd5ed8400
31.160.193.145,8000000903002cd02d36ef50,2,101092824,9,002cd02d36ef50
31.160.177.163,80001f888052d9952d9de52c6700000000,1,17344780,8072,No Mac indication (0x03)
31.149.26.160,800000090300e4a41c065880,15,11539808,9,00e4a41c065880
31.3.9.255,80000009030058ac78269080,11,99143063,9,0058ac78269080
23.109.12.13,80001f8880f4c0e65860446d38,21,4343246,8072,No Mac indication (0x03)
5.10.127.56,80000009034c0082fc5440,0,0,9,4c0082fc5440
31.160.183.209,8000000903001cfc174f3c00,5,16261258,9,001cfc174f3c00
31.160.60.185,800000090300e00edad8acc0,2,92166349,9,00e00edad8acc0
31.3.13.113,80000009030058ac78268c80,16,4549990,9,0058ac78268c80
37.74.9.80,800000090300a0239f082c70,3,105772340,9,00a0239f082c70
37.220.169.35,80000634b29e2000101470d8f7,5,10289282,1588,No Mac indication (0x03)
31.161.67.33,8000000903000078882545dc,2,1650829,9,000078882545dc
31.7.2.171,f5717f444ca8a8b07500,3,8807871,1970372420,No Mac indication (0x03)
23.249.235.65,0000000903005c3e06c2ab20,3,33870766,9,not_set
23.249.233.246,800000090300000000000000,3,92111432,9,00000000000000
45.80.100.134,800011ae05a42b8c2b5c3833,10,155825,4526,No Mac indication (0x03)
31.149.141.96,800000090300e4aa5dcd1ea4,4,29956873,9,00e4aa5dcd1ea4
37.74.45.240,800000090300002a103c0abc,2,105342635,9,00002a103c0abc
31.149.145.231,8000000903002c4f52f571fe,2,89949476,9,002c4f52f571fe
31.149.196.121,80000009030044ae25d23380,9,37508484,9,0044ae25d23380
31.220.27.190,8000000903f44e0558b160,0,0,9,f44e0558b160
31.151.27.255,80000009030000a289271400,8,29066069,9,0000a289271400
31.160.242.191,8000000903002cd02d936f3e,3,4820529,9,002cd02d936f3e
31.3.8.95,80000009030058ac78267a80,12,68497486,9,0058ac78267a80
23.249.235.76,0000000903005c3e06c2ab20,3,33870766,9,not_set
37.74.172.160,80000009030070db989512a6,2,105753273,9,0070db989512a6
31.160.244.160,800000090300cc46d606f80e,1,22385091,9,00cc46d606f80e
31.161.13.104,8000000903002c3311cab386,7,149919497,9,002c3311cab386
37.17.214.158,80000009030040b5c14f0c80,45,34379187,9,0040b5c14f0c80
37.114.94.128,800000090300000000000000,2,46209004,9,00000000000000
31.149.80.52,80000009030058ac785b5702,4,40509888,9,0058ac785b5702
31.149.167.81,800000090300e4387ecdd800,8,6137757,9,00e4387ecdd800
45.10.228.141,80001f88807c48033a28bf2665,6,8593732,8072,No Mac indication (0x03)
31.149.153.23,80000009030000f28bb4f5be,2,2171424,9,0000f28bb4f5be
31.171.205.30,80000009032c3311a412f0,0,0,9,2c3311a412f0
5.132.40.0,502660000000010030000079,6,49972379,1344692224,not_set
31.160.104.209,800000090300ecc018e28a00,3,30142182,9,00ecc018e28a00
23.249.232.51,800000090300d48cb5717afc,1,611896,9,00d48cb5717afc
31.149.248.137,80000009030058ac781d8654,2,20547292,9,0058ac781d8654
37.114.92.226,800000090300a4530e2fc900,1,58121638,9,00a4530e2fc900
31.149.54.183,80000009030000f663ac2974,1,25478958,9,0000f663ac2974
31.186.165.21,00000009030010b3d6dc3c70,12,91799346,9,not_set
45.11.165.142,80000009030000eabdd39f17,2,53111438,9,0000eabdd39f17
5.102.140.17,80003a8c04,0,0,invalid,invalid
31.160.28.97,800000090300a09351d52280,9,36167715,9,00a09351d52280
31.20.206.0,502660000000010030000007,7,54750226,1344692224,not_set
31.161.44.249,800000090300e4387ecdc180,12,4297476,9,00e4387ecdc180
31.149.43.65,800000090300e4387ed17500,9,15477595,9,00e4387ed17500
31.149.178.145,800000090300e4387ecd2880,8,2151232,9,00e4387ecd2880
5.172.47.130,80000634b22db4001014e8f756,6,69605738,1588,No Mac indication (0x03)
23.249.239.59,0000000903005c3e06c2abe6,9,24573692,9,not_set
31.160.249.33,800000090300cc7f76725c00,12,33966160,9,00cc7f76725c00
31.201.7.48,0000000903003c13ccffa750,2,7114709,9,not_set
37.235.116.129,800000090300f80f6fa5c180,17,24512742,9,00f80f6fa5c180
31.149.172.184,800000090300cc7f7671e500,9,100324833,9,00cc7f7671e500
5.178.67.209,800007db039c7da32174c1,3,180035012,2011,9c7da32174c1
31.149.135.168,8000000903006cb2ae61dd70,2,102214919,9,006cb2ae61dd70
31.3.13.216,80000009030058ac78269080,11,99143065,9,0058ac78269080
37.26.225.171,000000090300cced4dbbb7d0,3,6544048,9,not_set
5.104.120.36,80001f8880347fb428ebde0068,1,3452865,8072,No Mac indication (0x03)
31.149.174.47,800000090300286f7f147fb8,2,73923434,9,00286f7f147fb8
31.149.234.64,80000009030000f28b7488d4,3,32067343,9,0000f28b7488d4
31.207.12.146,80001f8880d9501619254f8f67,4,5265338,8072,No Mac indication (0x03)
31.160.237.143,80000009030040017aa187b8,1,13826941,9,0040017aa187b8
31.160.174.45,80001f8880007fb30c2c00000000000000,1,3969375,8072,No Mac indication (0x03)
31.3.12.65,8000000903009cd57d351b80,4,16146667,9,009cd57d351b80
31.200.210.210,80000634b20400001014d3d196,0,43698451,1588,No Mac indication (0x03)
37.26.225.207,000000090300cced4dbbb7d0,3,6544048,9,not_set
31.160.149.1,80000009030070695a8079a0,2,103250397,9,0070695a8079a0
31.160.31.112,80000009030040017aa00064,2,33346515,9,0040017aa00064
37.235.118.205,80000009030034ed1b845680,68,67561430,9,0034ed1b845680
31.149.204.37,80001f88808c4d3e362c00000000000000,1,3972745,8072,No Mac indication (0x03)
31.149.132.135,80000009030058569f169880,6,7694143,9,0058569f169880
31.160.96.23,800000090300c014fe4e3180,13,10546626,9,00c014fe4e3180
45.11.167.190,80000009030080e01db43875,4,19126582,9,0080e01db43875
37.114.90.233,80000009030060735c5636fe,2,19534689,9,0060735c5636fe
37.153.253.40,800000090300649ef3dac980,4,152774557,9,00649ef3dac980
37.74.75.32,80000009030020cc279b1967,1,14433922,9,0020cc279b1967
31.20.199.1,502660000000010030000039,11,49971962,1344692224,not_set
45.10.230.89,8000304404464754343046544b3231303338343831,1726643686,21696605,12356,No Mac indication (0x03)
31.160.133.40,8000000903000081c40fd192,2,36106899,9,000081c40fd192
31.160.227.185,80000009030000fd228e4180,10,16177445,9,0000fd228e4180
31.3.9.203,800000090300500f807e3700,14,5943067,9,00500f807e3700
23.249.236.23,800000090300f8c28806dec4,8,17031079,9,00f8c28806dec4
31.160.243.65,80000009030000be75519b80,10,100414988,9,0000be75519b80
31.149.17.160,80000009030000fd229dfc48,2,9940833,9,0000fd229dfc48
37.235.115.56,800000090300188b9db85e00,7,172975616,9,00188b9db85e00
5.39.220.155,800007c703cc4e24c28fdc,26,91820033,1991,cc4e24c28fdc
37.74.43.65,80001f88808410b4112b00000000000000,1,3319415,8072,No Mac indication (0x03)
31.160.87.191,80000009030070695a6083d8,2,6804859,9,0070695a6083d8
31.149.66.188,80000009030020cc279b13d7,1,1033504,9,0020cc279b13d7
