IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
93.92.27.224,800000090300c08c6094dba2,1,43431454,9.0,00c08c6094dba2,ciscoSystems
93.117.229.32,800000090300e069baba4c80,36,7124991,9.0,00e069baba4c80,ciscoSystems
92.70.151.209,800000090300000000000000,9,13635710,9.0,00000000000000,ciscoSystems
87.237.30.252,800000090300b0aa77198b06,4,7539436,9.0,00b0aa77198b06,ciscoSystems
92.64.225.25,800000090300b83861e68680,1,18516813,9.0,00b83861e68680,ciscoSystems
91.103.23.192,000000090300cced4dbbf610,3,7080113,9.0,not_set,ciscoSystems
89.20.92.213,8000000903006cb2ae943ff0,3,16247361,9.0,006cb2ae943ff0,ciscoSystems
92.64.196.37,80003a8c04,0,0,,invalid,
92.66.31.140,800000090300ecce13e3fe00,42,4622925,9.0,00ecce13e3fe00,ciscoSystems
89.255.31.63,8000000903004c4e358405cc,1,24553705,9.0,004c4e358405cc,ciscoSystems
88.218.152.146,80000634b20400001014d3d196,0,44234985,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
87.236.5.17,800000090300c08c607246c0,5,34314874,9.0,00c08c607246c0,ciscoSystems
87.213.88.234,80001f8880c6518b208acd3466,6,10305194,8072.0,No Mac indication (0x03),net-snmp
93.92.29.29,0000000903005c3e06c2ab20,3,34407301,9.0,not_set,ciscoSystems
92.64.124.94,00000009020000024b7d8d6f,10,5357045,9.0,not_set,ciscoSystems
92.63.170.173,f5717f001c733d793d00,10,87860450,1970372352.0,No Mac indication (0x03),
93.92.30.161,8000000903003c13ccee2680,17,71873083,9.0,003c13ccee2680,ciscoSystems
89.20.163.154,800000090300ac7a56f298f0,9,28283555,9.0,00ac7a56f298f0,ciscoSystems
87.233.200.154,80000a4c03807ff891e700,63,106206002,2636.0,807ff891e700,"Juniper Networks, Inc."
93.117.218.129,800007db03dcef8082d341,6,72591252,2011.0,dcef8082d341,"HUAWEI Technology Co.,Ltd"
89.188.23.24,800000090300001b53d39281,6,23994422,9.0,00001b53d39281,ciscoSystems
92.67.188.216,8000000903006887c6c29900,8,6933219,9.0,006887c6c29900,ciscoSystems
87.212.188.0,502660000000010030000021,7,49905113,1344692224.0,not_set,
93.92.30.26,0000000903005c3e06c2ab20,3,34407302,9.0,not_set,ciscoSystems
92.64.46.111,8000000903000027e357d168,6,37229552,9.0,000027e357d168,ciscoSystems
89.255.53.0,80000009030024e9b3963780,1,10864489,9.0,0024e9b3963780,ciscoSystems
89.20.74.48,8000000903007079b3d80ba4,2,32567777,9.0,007079b3d80ba4,ciscoSystems
92.109.219.1,80000009030000ebd5ed3c00,8,28827957,9.0,0000ebd5ed3c00,ciscoSystems
86.109.13.62,28cdeafc56f7a779b44bc98d936207af5c8bf0f669db8d8af41be03136871d22,27,19832521,684583676.0,not_set,
93.117.193.0,800000090300482e722aeb80,26,1139533,9.0,00482e722aeb80,ciscoSystems
93.117.198.229,800033870370fc8c16065a,0,0,13191.0,70fc8c16065a,OneAccess
92.108.7.0,8000000903007001b5cd7800,10,28914045,9.0,007001b5cd7800,ciscoSystems
90.145.22.82,800000090300b4148962fc7b,8,20698002,9.0,00b4148962fc7b,ciscoSystems
93.117.239.129,800033870370fc8c538a60,0,0,13191.0,70fc8c538a60,OneAccess
92.70.175.193,800000090300a00f37ecd580,7,54803670,9.0,00a00f37ecd580,ciscoSystems
86.109.13.25,5b838c6e08eb14593bee4187f431e8c95ba4851146f8fb1155d8d7a178284e2c,105,19830931,1535347822.0,not_set,
93.117.250.181,800033870370fc8c1614a6,0,0,13191.0,70fc8c1614a6,OneAccess
92.67.128.253,800000090300cc46d6c15f40,4,1219810,9.0,00cc46d6c15f40,ciscoSystems
88.218.155.171,80000634b20400001014ccd196,2,122974614,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
87.195.100.155,16081976abcd,1,158308589,369629558.0,not_set,
87.195.105.3,800000090300001794197c44,21,142516979,9.0,00001794197c44,ciscoSystems
93.117.199.205,800000090300e8eb34e1c600,16,27960003,9.0,00e8eb34e1c600,ciscoSystems
93.117.218.137,800000090300b8a37784b400,14,19548900,9.0,00b8a37784b400,ciscoSystems
92.70.100.61,8000000903006887c641f700,16,2093530,9.0,006887c641f700,ciscoSystems
93.117.199.179,80001f8880e5f35f542e000000,1,1541024,8072.0,No Mac indication (0x03),net-snmp
87.236.5.67,8000000903008cb64f688402,22,52388548,9.0,008cb64f688402,ciscoSystems
92.67.126.113,80000009030020cfae00fa80,30,61454034,9.0,0020cfae00fa80,ciscoSystems
89.38.99.136,800000e8045553453334394d363058,6,1748876621,232.0,No Mac indication (0x03),Compaq
92.64.192.5,80000009030070708b5da8be,2,41302942,9.0,0070708b5da8be,ciscoSystems
87.236.0.228,800000090300d48cb5a05b24,9,23259506,9.0,00d48cb5a05b24,ciscoSystems
92.110.25.0,8000000903000029c2017000,8,31332034,9.0,000029c2017000,ciscoSystems
92.66.245.237,00000009020000024b7d8d6f,6,23272114,9.0,not_set,ciscoSystems
92.70.178.62,8000000903007c0ecedf3bae,6,16761585,9.0,007c0ecedf3bae,ciscoSystems
91.205.215.252,800007c703cc4e24f5ab00,48,7504516,1991.0,cc4e24f5ab00,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
89.200.67.150,8000000903009077ee861880,31,21413,9.0,009077ee861880,ciscoSystems
93.117.235.5,800000090300a03d6eae1000,18,3634051,9.0,00a03d6eae1000,ciscoSystems
