ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
78.108.141.38,8000000903002cf89b60a580,36,8002070,9,002cf89b60a580
31.223.161.5,80001f8880804bb133f85cf266,3,13845574,8072,No Mac indication (0x03)
77.242.117.232,8000000903003891b73f2600,8,35015253,9,003891b73f2600
31.149.55.105,8000000903002c4f52460090,3,351780,9,002c4f52460090
85.146.194.177,800000090300683b78689900,15,63020647,9,00683b78689900
84.105.210.0,800000090300285261fb6400,15,30274627,9,00285261fb6400
46.144.85.33,8000000903005c3e069aae80,5,40732166,9,005c3e069aae80
31.160.222.217,800000090300707db98942f8,2,41485610,9,00707db98942f8
80.112.60.104,80000b2f058029941c57b133,1,1571357,2863,No Mac indication (0x03)
84.29.210.255,800000090300d4ad710dc800,12,27085573,9,00d4ad710dc800
85.146.253.215,8000000903003cce73b85a81,10,126495434,9,003cce73b85a81
77.60.206.233,8000000903002c5a0ff7bd68,3,59018718,9,002c5a0ff7bd68
31.149.203.175,800000090300843dc6cf9fcc,2,5170259,9,00843dc6cf9fcc
85.146.239.145,80000009030024d79c379000,11,6656537,9,0024d79c379000
85.17.18.33,80001f8880dea45d4a52cd006300000000,17,10139590,8072,No Mac indication (0x03)
5.200.12.64,80000a4c010afa0b0e,2,117991341,2636,No Mac indication (0x03)
37.74.47.104,800000090300c828e5f2fa80,8,1228857,9,00c828e5f2fa80
37.26.225.39,000000090300cced4dbbf610,3,6551884,9,not_set
46.144.94.175,80000009030074a2e6e3cee7,2,83972411,9,0074a2e6e3cee7
31.149.127.80,800000090300002a108ab130,3,102309938,9,00002a108ab130
46.144.165.111,800000090300a4530e1020d8,1,30091530,9,00a4530e1020d8
77.105.160.163,80003a8c04,0,0,invalid,invalid
84.30.6.150,80000b2f05802994f32a2133,1,2763358,2863,No Mac indication (0x03)
85.146.252.217,800033870370fc8c6351e0,0,0,13191,70fc8c6351e0
84.27.171.75,80000b2f05802994c1cdf133,1,4006475,2863,No Mac indication (0x03)
