IP,Enterprise Code,MAC,Vendor
82.75.135.99,2863.0,No Mac indication (0x03),Thomson Inc.
78.40.192.12,8072.0,No Mac indication (0x03),net-snmp
81.173.59.123,2011.0,042758474a83,"HUAWEI Technology Co.,Ltd"
81.173.124.66,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.85.244.7,8072.0,No Mac indication (0x03),net-snmp
81.171.37.163,1970372420.0,No Mac indication (0x03),
81.173.125.67,2011.0,80b5752cf26b,"HUAWEI Technology Co.,Ltd"
79.143.215.98,52642.0,649d99d2526a,FS.COM INC
80.56.102.77,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.211.174,8072.0,No Mac indication (0x03),net-snmp
81.173.124.209,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
82.75.37.168,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.96.65,8072.0,No Mac indication (0x03),net-snmp
80.242.233.30,8072.0,No Mac indication (0x03),net-snmp
80.114.79.247,2863.0,No Mac indication (0x03),Thomson Inc.
82.75.144.167,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.49.116,nan,invalid,
82.74.238.204,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.174.183.255,1344692224.0,not_set,
80.231.152.12,942682160.0,not_set,
82.73.96.157,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.232.121,8072.0,No Mac indication (0x03),net-snmp
81.173.3.34,8072.0,No Mac indication (0x03),net-snmp
81.175.70.87,8072.0,No Mac indication (0x03),net-snmp
82.174.149.1,1344692224.0,not_set,
80.115.100.197,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.2.117,nan,invalid,
81.173.44.2,nan,invalid,
80.114.94.105,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.74.210.99,2863.0,No Mac indication (0x03),Thomson Inc.
80.249.213.232,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
77.251.167.104,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.3.1,nan,invalid,
80.249.210.36,1991.0,748ef8a73fc0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
82.101.250.149,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.223.132,2863.0,No Mac indication (0x03),Thomson Inc.
77.248.81.68,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.151.47.66,14823.0,not_set,"Aruba, a Hewlett Packard Enterprise company"
80.231.152.145,942682160.0,not_set,
81.173.124.33,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.249.214.179,nan,invalid,
81.171.73.134,1970372420.0,No Mac indication (0x03),
82.174.159.1,1344692224.0,not_set,
81.171.65.67,1970372420.0,No Mac indication (0x03),
82.72.67.166,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
79.142.64.213,8072.0,No Mac indication (0x03),net-snmp
79.141.165.136,8072.0,No Mac indication (0x03),net-snmp
82.74.222.99,2863.0,No Mac indication (0x03),Thomson Inc.
80.111.141.65,8595.0,not_set,"HITRON Technology, Inc."
80.113.232.91,8072.0,No Mac indication (0x03),net-snmp
80.113.232.27,8072.0,No Mac indication (0x03),net-snmp
80.112.126.162,2863.0,No Mac indication (0x03),Thomson Inc.
82.174.148.0,1344692224.0,not_set,
82.74.229.70,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.93.113,2863.0,No Mac indication (0x03),Thomson Inc.
82.74.181.18,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.232.28,8072.0,No Mac indication (0x03),net-snmp
82.94.215.129,6027.0,not_set,"Force10 Networks, Inc."
81.173.66.157,8072.0,No Mac indication (0x03),net-snmp
80.112.10.144,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.35.12,2863.0,No Mac indication (0x03),Thomson Inc.
79.143.209.129,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
80.82.76.65,1970372420.0,No Mac indication (0x03),
82.101.206.223,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.20.12,8072.0,No Mac indication (0x03),net-snmp
80.56.189.38,nan,invalid,
81.175.70.88,8072.0,No Mac indication (0x03),net-snmp
82.72.210.229,2863.0,No Mac indication (0x03),Thomson Inc.
80.249.209.71,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.171.32.8,1970372548.0,No Mac indication (0x03),
82.72.218.65,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.101.218.235,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.255.247,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.212.97,13191.0,70fc8c1610d0,OneAccess
80.115.50.107,2863.0,No Mac indication (0x03),Thomson Inc.
82.151.54.2,8072.0,No Mac indication (0x03),net-snmp
80.114.19.137,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.115.139.233,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
79.99.129.98,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
80.114.123.53,2863.0,No Mac indication (0x03),Thomson Inc.
