Vendor,Count
net-snmp,3259
Ambit Microsystems Corporation,1376
Thomson Inc.,988
"HUAWEI Technology Co.,Ltd",609
"Juniper Networks, Inc.",575
"Brocade Communications Systems, Inc.",346
Nokia (formerly 'Alcatel-Lucent'),242
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",231
"Fortinet, Inc.",188
H3C,161
"SonicWALL, Inc.",114
Compaq,99
Broadcom Limited,59
"Aruba, a Hewlett Packard Enterprise company",34
"U.C. Davis, ECE Dept. Tom",30
Hewlett-Packard,29
"Ericsson, Inc. (formerly 'RedBack Networks')",27
FS.COM INC,24
Sarian Systems Limited,22
"NetScreen Technologies, Inc.",18
Dell Inc.,16
WatchGuard Technologies Inc.,15
AWIND Inc,14
"Advantech Co., Ltd.",14
The FreeBSD Project,11
OneAccess,10
SNMP Research,9
Netgear,9
SNMP Laboratories (formerly 'pysnmp'),8
Zeus Technology Ltd,7
Realtek Semiconductor corp.,6
American Power Conversion Corp.,5
LANCOM Systems,4
BinTec Communications GmbH,3
"Raritan Computer, Inc.",3
Reserved,2
OpenBSD Project,2
"Force10 Networks, Inc.",2
HW group s.r.o,2
Extreme Networks,2
ACCTON Technology,2
Siemens AG,2
Microsoft,2
CANON Inc.,2
Vertiv (formerly 'Emerson Computer Power'),1
VMware Inc.,1
Avocent Corporation,1
Colubris Networks Inc.,1
"ZPE Systems, Inc",1
Epilogue,1
Opengear Inc.,1
"Ubiquiti Networks, Inc.",1
3Com,1
Packeteer Inc.,1
Hewlett Packard Enterprise,1
Netscaler,1
General Instrument,1
