"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'eth0'
** (tshark:1620) 16:40:16.778527 [Main MESSAGE] -- Capture started.
"** (tshark:1620) 16:40:16.778575 [Main MESSAGE] -- File: ""/tmp/wireshark_eth0GUH862.pcapng"""
14 packets captured
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
145.33.250.116;80000009030020dbea10c160;6;168936
145.62.80.0;800000090300f07f0699c7bf;8;219388318
145.23.254.124;800000090300b8a3770c0780;14;7709180
145.22.254.3;80003a8c04;0;0
145.33.250.92;80000009030020dbea10c160;6;169044
145.14.8.5;80000009030000d78f9d7900;8;102325476
145.22.254.147;80003a8c04;0;0
145.53.58.198;800022250318b169a06494;18;2320767
145.62.64.1;800000090300fc5b39db65ff;6;319163925
145.33.250.102;80000009030020dbea10c020;8;186677
145.14.14.2;80000009030000d78f816200;9;102327167
145.33.250.69;80000009030020dbea10c160;6;169246
145.22.254.1;80003a8c04;0;0
145.32.30.241;800063a203b8af67f5516b;47;158307432
