Vendor,Count
ciscoSystems,6950
net-snmp,954
Ambit Microsystems Corporation,212
OneAccess,206
"HUAWEI Technology Co.,Ltd",143
Thomson Inc.,142
"Juniper Networks, Inc.",134
"Brocade Communications Systems, Inc.",89
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",49
"Fortinet, Inc.",45
"SonicWALL, Inc.",28
H3C,26
DrayTek Corporation,19
Nokia (formerly 'Alcatel-Lucent'),10
Compaq,10
The FreeBSD Project,9
Broadcom Limited,9
"U.C. Davis, ECE Dept. Tom",7
MikroTik,6
SNMP Research,4
Hewlett-Packard,4
Netgear,4
SNMP Laboratories (formerly 'pysnmp'),3
Zeus Technology Ltd,3
"NetScreen Technologies, Inc.",3
"Aruba, a Hewlett Packard Enterprise company",3
Extreme Networks,2
BinTec Communications GmbH,2
Sarian Systems Limited,2
"Ericsson, Inc. (formerly 'RedBack Networks')",2
HW group s.r.o,1
Siemens AG,1
Microsoft,1
Opengear Inc.,1
WatchGuard Technologies Inc.,1
VMware Inc.,1
LANCOM Systems,1
