Vendor,Count
ciscoSystems,5525
net-snmp,492
"Brocade Communications Systems, Inc.",94
"Juniper Networks, Inc.",68
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",59
H3C,51
Netgear,30
"Fortinet, Inc.",23
Compaq,20
"HUAWEI Technology Co.,Ltd",18
MikroTik,14
"SonicWALL, Inc.",11
General Instrument,8
Nokia (formerly 'Alcatel-Lucent'),7
The FreeBSD Project,5
Hewlett-Packard,5
FS.COM INC,4
"U.C. Davis, ECE Dept. Tom",4
DrayTek Corporation,4
Broadcom Limited,4
Ambit Microsystems Corporation,4
vIPtela Inc.,3
WatchGuard Technologies Inc.,3
"Aruba, a Hewlett Packard Enterprise company",2
SNMP Research,2
Thomson Inc.,1
Dell Inc.,1
BinTec Communications GmbH,1
American Power Conversion Corp.,1
Avocent Corporation,1
"NetScreen Technologies, Inc.",1
RICOH Co. Ltd.,1
OpenBSD Project,1
