saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us,asn,asn_description,asn_country,asn_date,cidr,net_name,net_type
83.98.255.163,2751423059,172.20.88.54,911742124,15922,245,udp,1,161,54423,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903007c210e058f0002011b02040171211e0400040004003031040c8000000903007c210e058f000400a81f020237f002010002010030133011060a2b060106030f0101040041030333d8,0,0,2025-06-02T11:38:58.939+0200,1748857138,939202,30925,"SPEEDXS-AS, NL",NL,2004-01-14,"83.98.254.200/29, 83.98.254.208/28, 83.98.254.224/27, 83.98.255.0/25, 83.98.255.128/26, 83.98.255.192/29",SPEEDXS-NET,ASSIGNED PA
83.98.233.161,2716426835,172.20.88.54,911742124,28952,245,udp,1,161,55727,,,,,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300f87a4167520002011c020312445a0400040004003030040c800000090300f87a416752000400a81e020237f002010002010030123010060a2b060106030f0101040041020504,0,0,2025-06-02T11:38:58.939+0200,1748857138,939588,30925,"SPEEDXS-AS, NL",NL,2004-01-14,"83.98.232.0/23, 83.98.234.0/24, 83.98.235.0/25, 83.98.235.128/26, 83.98.235.192/29",SPEEDXS-NET,ASSIGNED PA
85.146.211.113,1909690965,172.20.88.54,911742124,39983,242,udp,1,161,36373,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903009077ee054600020110020400efe32e0400040004003030040c8000000903009077ee0546000400a81e020237f002010002010030123010060a2b060106030f0101040041020609,0,0,2025-06-02T11:38:58.942+0200,1748857138,942127,33915,"TNF-AS, NL",NL,2004-10-06,85.146.211.112/29,OKC,ASSIGNED PA
81.4.77.79,1330447441,172.20.88.54,911742124,26738,246,udp,1,161,35394,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300001873b8540c02010602041453992c0400040004003031040c800000090300001873b8540c0400a81f020237f002010002010030133011060a2b060106030f010104004103284cc4,0,0,2025-06-02T11:38:58.942+0200,1748857138,942250,21155,"ASN-PROSERVE Amsterdam, NL",NL,2002-05-10,81.4.77.72/29,NL-CUST-PROSERVE-ALTEN,ASSIGNED PA
84.25.100.255,4284750164,172.20.88.54,911742124,15182,242,udp,1,161,34863,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903006c410e152c00020109020401f18ec00400040004003031040c8000000903006c410e152c000400a81f020237f002010002010030133011060a2b060106030f010104004103066971,0,0,2025-06-02T11:38:58.942+0200,1748857138,942413,33915,"TNF-AS, NL",NL,2004-07-01,84.25.64.0/18,ZIGGO-CM,ASSIGNED PA
84.22.108.157,2641106516,172.20.88.54,911742124,22861,53,udp,1,161,53946,,,,,121,306f020103300f02024a69020300ffe304010002010304233021041180001f888075d8990c51590d660000000002010702030b8ca20400040004003034041180001f888075d8990c51590d66000000000400a81d020237f00201000201003011300f060a2b060106030f01010400410133,0,0,2025-06-02T11:38:58.942+0200,1748857138,942573,196752,"TILAA, NL",NL,2004-09-21,84.22.108.0/24,TILAA,ASSIGNED PA
83.167.197.57,969254739,172.20.88.54,911742124,63354,242,udp,1,161,34671,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030024d79c3ab380020108020400a488500400040004003030040c80000009030024d79c3ab3800400a81e020237f002010002010030123010060a2b060106030f0101040041020375,0,0,2025-06-02T11:38:58.942+0200,1748857138,942747,33915,"TNF-AS, NL",NL,2004-06-21,83.167.197.56/30,UEJ,ASSIGNED PA
83.98.233.53,904487507,172.20.88.54,911742124,6658,245,udp,1,161,34720,,,,,113,3067020103300e02024a6902020800040100020103041f301d040c00000009030034732d4b322c02011702040255c7960400040004003031040c00000009030034732d4b322c0400a81f020237f002010002010030133011060a2b060106030f010104004103038da3,0,0,2025-06-02T11:38:58.942+0200,1748857138,942833,30925,"SPEEDXS-AS, NL",NL,2004-01-14,"83.98.232.0/23, 83.98.234.0/24, 83.98.235.0/25, 83.98.235.128/26, 83.98.235.192/29",SPEEDXS-NET,ASSIGNED PA
77.242.123.176,2960912973,172.20.88.54,911742124,19070,246,udp,1,161,55555,,,,,114,3068020103300e02024a69020205dc040100020103041f301d040c8000000903004c710d06e38002012a020402c5587a0400040004003032040c8000000903004c710d06e3800400a820020237f002010002010030143012060a2b060106030f01010400410400b1818f,0,0,2025-06-02T11:38:58.942+0200,1748857138,942969,35332,"DATAWEB DataWeb B.V. - The Netherlands, NL",NL,2007-03-01,77.242.123.176/30,DATAWEB-CUST-42178,ASSIGNED PA
77.61.84.201,3377741133,172.20.88.54,911742124,42363,243,udp,1,161,56960,,,,,111,3065020103300e02024a69020205dc040100020103041e301c040c80000009030074ad984a05800201140203221ffb0400040004003030040c80000009030074ad984a05800400a81e020237f002010002010030123010060a2b060106030f01010400410201fe,0,0,2025-06-02T11:38:58.943+0200,1748857138,943096,1136,"KPN KPN National, NL",NL,2007-01-04,77.60.0.0/14,NL-KPN-BBT-20070104,ALLOCATED PA
