saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
92.118.110.140,2356049500,172.24.82.16,273815724,56249,53,udp,1,161,57856,,,,,121,306f020103300e02024a69020205c004010002010304233021041180001f8880240c8118dac24d6100000000020116020338c6d80400040004003035041180001f8880240c8118dac24d61000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020172,0,1,2025-05-16T13:58:25.237+0200,1747396705,237449
185.209.151.22,379048377,172.24.82.16,273815724,35711,53,udp,1,161,43166,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f88808af9a115285054660000000002010902035781d00400040004003035041180001f88808af9a11528505466000000000400a81e020237f002010002010030123010060a2b060106030f010104004102020d,0,1,2025-05-16T13:58:25.237+0200,1747396705,237557
95.211.145.143,2408698719,172.24.82.16,273815724,59922,52,udp,1,161,35818,,,,,121,306f020103300e02024a69020205c004010002010304233021041180001f888007bde87f7ff132630000000002010e020324ec020400040004003035041180001f888007bde87f7ff13263000000000400a81e020237f002010002010030123010060a2b060106030f01010400410200cf,0,1,2025-05-16T13:58:25.237+0200,1747396705,237584
161.123.35.189,3173219233,172.24.82.16,273815724,61094,54,udp,1,161,55071,,,,,119,306d020103300e02024a69020205c004010002010304223020041180001f8880953aa326422a00680000000002012c020202310400040004003034041180001f8880953aa326422a0068000000000400a81d020237f00201000201003011300f060a2b060106030f01010400410129,0,1,2025-05-16T13:58:25.237+0200,1747396705,237603
89.38.99.162,2724406873,172.24.82.16,273815724,15599,53,udp,1,161,36542,,,,,123,3071020103300f02024a69020300ffe304010002010304243022041180001f8880de232941e30e2d6700000000020102020400fa17450400040004003035041180001f8880de232941e30e2d67000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020525,0,1,2025-05-16T13:58:25.237+0200,1747396705,237623
161.123.35.188,3156442017,172.24.82.16,273815724,62062,54,udp,1,161,46282,,,,,119,306d020103300e02024a69020205c004010002010304223020041180001f8880953aa326422a00680000000002012c020202310400040004003034041180001f8880953aa326422a0068000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012b,0,1,2025-05-16T13:58:25.237+0200,1747396705,237642
161.123.35.180,3022224289,172.24.82.16,273815724,34822,55,udp,1,161,58659,,,,,119,306d020103300e02024a69020205c004010002010304223020041180001f8880953aa326422a00680000000002012c020202310400040004003034041180001f8880953aa326422a0068000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012a,0,1,2025-05-16T13:58:25.237+0200,1747396705,237652
95.211.141.197,3314406239,172.24.82.16,273815724,36377,54,udp,1,161,39510,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f888091d0686dc4255d5d0000000002010f0203612bba0400040004003035041180001f888091d0686dc4255d5d000000000400a81e020237f002010002010030123010060a2b060106030f010104004102022a,0,1,2025-05-16T13:58:25.237+0200,1747396705,237662
83.149.100.18,308581715,172.24.82.16,273815724,10659,54,udp,1,161,41027,,,,,123,3071020103300f02024a69020300ffe304010002010304243022041180001f8880e08f5110870da96400000000020129020400cb21150400040004003035041180001f8880e08f5110870da964000000000400a81e020237f002010002010030123010060a2b060106030f01010400410203fc,0,1,2025-05-16T13:58:25.237+0200,1747396705,237672
185.209.151.17,295162297,172.24.82.16,273815724,10915,53,udp,1,161,59577,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f8880f51b5877244c5466000000000201070203578e4c0400040004003035041180001f8880f51b5877244c5466000000000400a81e020237f002010002010030123010060a2b060106030f01010400410201df,0,1,2025-05-16T13:58:25.237+0200,1747396705,237690
45.89.61.96,1614633261,172.24.82.16,273815724,26107,54,udp,1,161,60438,,,,,121,306f020103300f02024a69020300ffe304010002010304233021041180001f8880ce49a410b3908f6700000000020102020307ce700400040004003034041180001f8880ce49a410b3908f67000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012f,0,1,2025-05-16T13:58:25.237+0200,1747396705,237701
81.171.9.166,2785651537,172.24.82.16,273815724,60849,54,udp,1,161,48583,,,,,121,306f020103300e02024a69020205c004010002010304233021041180001f88804d325e36a04635630000000002010d0203311ffe0400040004003035041180001f88804d325e36a0463563000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020118,0,1,2025-05-16T13:58:25.237+0200,1747396705,237725
141.224.195.99,1673781389,172.24.82.16,273815724,64573,55,udp,1,161,49660,,,,,116,306a020103300f02024a69020300ffe30401000201030421301f040f800008be8031373237323235383632020101020304e7d30400040004003031040f800008be80313732373232353836320400a81c020237f00201000201003010300e060a2b060106030f010104008000,0,1,2025-05-16T13:58:25.237+0200,1747396705,237744
161.123.35.187,3139664801,172.24.82.16,273815724,17029,54,udp,1,161,37006,,,,,119,306d020103300e02024a69020205c004010002010304223020041180001f8880953aa326422a00680000000002012c020202310400040004003034041180001f8880953aa326422a0068000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012c,0,1,2025-05-16T13:58:25.237+0200,1747396705,237762
31.161.88.180,3025707295,172.24.82.16,273815724,34052,53,udp,1,161,58365,,,,,110,3064020103300e02024a69020205c0040100020103041e301c040c00000063000000a100dbe5d702011102030cf30a040004000400302f040c00000063000000a100dbe5d70400a81d020237f00201000201003011300f060a2b060106030f01010400410153,0,1,2025-05-16T13:58:25.237+0200,1747396705,237772
212.78.184.18,314068692,172.24.82.16,273815724,6404,51,udp,1,161,44941,,,,,111,3065020103300f02024a69020300ffe3040100020103041e301c040b800002a203e8b26512b4c6020114020402b3f2aa040004000400302f040b800002a203e8b26512b4c60400a81e020237f002010002010030123010060a2b060106030f0101040041023670,0,1,2025-05-16T13:58:25.237+0200,1747396705,237801
37.48.82.104,1750216741,172.24.82.16,273815724,42919,52,udp,1,161,34601,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f88804f305839dafccd650000000002010a02031eadd70400040004003035041180001f88804f305839dafccd65000000000400a81e020237f002010002010030123010060a2b060106030f01010400410200b5,0,1,2025-05-16T13:58:25.237+0200,1747396705,237820
161.123.35.186,3122887585,172.24.82.16,273815724,2616,54,udp,1,161,37369,,,,,119,306d020103300e02024a69020205c004010002010304223020041180001f8880953aa326422a00680000000002012c020202310400040004003034041180001f8880953aa326422a0068000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012d,0,1,2025-05-16T13:58:25.237+0200,1747396705,237852
37.48.81.67,1129394213,172.24.82.16,273815724,48944,52,udp,1,161,46407,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f8880a2852543a60fb7670000000002010602036d971e0400040004003035041180001f8880a2852543a60fb767000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020515,0,1,2025-05-16T13:58:25.237+0200,1747396705,237866
109.206.176.54,917556845,172.24.82.16,273815724,17157,55,udp,1,161,52588,,,,,122,3070020103300e02024a69020205c004010002010304243022041180001f8880225b1f7c00be2066000000000201020204020667ed0400040004003035041180001f8880225b1f7c00be2066000000000400a81e020237f002010002010030123010060a2b060106030f0101040041021ce1,0,1,2025-05-16T13:58:25.237+0200,1747396705,237876
92.66.16.49,823149148,172.24.82.16,273815724,20577,52,udp,1,161,55681,,,,,110,3064020103300f02024a69020300ffe3040100020103041d301b040b80001f88031056ca679a7002010102031e0ffd040004000400302f040b80001f88031056ca679a700400a81e020237f002010002010030123010060a2b060106030f0101040041020933,0,1,2025-05-16T13:58:25.237+0200,1747396705,237895
