saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
185.89.155.11,194730425,172.20.88.54,911742124,43917,243,udp,1,161,33029,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030058ac7826908002010b020405f0a78e0400040004003031040c80000009030058ac782690800400a81f020237f002010002010030133011060a2b060106030f0101040041033465c1,0,0,2025-06-02T11:02:25.726+0200,1748854945,726868
185.223.36.188,3156533177,172.20.88.54,911742124,5134,245,udp,1,161,34583,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300a84fb1b2df8002010e0204020422ea0400040004003031040c800000090300a84fb1b2df800400a81f020237f002010002010030133011060a2b060106030f0101040041030c0933,0,0,2025-06-02T11:02:25.727+0200,1748854945,727283
185.82.140.16,277631673,172.20.88.54,911742124,35238,245,udp,1,161,53565,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300a0e0af898a3f0201060204065646b20400040004003031040c800000090300a0e0af898a3f0400a81f020237f002010002010030133011060a2b060106030f01010400410302668c,0,0,2025-06-02T11:02:25.730+0200,1748854945,730573
185.34.168.108,1822958265,172.20.88.54,911742124,19998,244,udp,1,161,47173,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300b0c53ce4ac8002010a020401dc9a630400040004003031040c800000090300b0c53ce4ac800400a81f020237f002010002010030133011060a2b060106030f010104004103120d2b,0,0,2025-06-02T11:02:25.730+0200,1748854945,730724
185.254.42.136,2284519097,172.20.88.54,911742124,24143,243,udp,1,161,60814,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300bc1665ee62400201080204015b74b10400040004003030040c800000090300bc1665ee62400400a81e020237f002010002010030123010060a2b060106030f010104004102069a,0,0,2025-06-02T11:02:25.730+0200,1748854945,730854
185.170.129.124,2088872633,172.20.88.54,911742124,0,49,udp,1,161,46052,,,,,96,3056020103300f02024a69020300ffe304010402010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f0101040041022ea9,0,0,2025-06-02T11:02:25.731+0200,1748854945,731060
185.143.158.128,2157875129,172.20.88.54,911742124,26209,242,udp,1,161,51402,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030000c88bfbdd00020108020402718a440400040004003031040c80000009030000c88bfbdd000400a81f020237f002010002010030133011060a2b060106030f010104004103048835,0,0,2025-06-02T11:02:25.731+0200,1748854945,731233
188.92.58.176,2956614844,172.20.88.54,911742124,12794,245,udp,1,161,48301,,,,,112,3066020103300e02024a69020205dc040100020103041e301c040c80000009030028ac9e771e80020153020320d17b0400040004003031040c80000009030028ac9e771e800400a81f020237f002010002010030133011060a2b060106030f01010400410307d443,0,0,2025-06-02T11:02:25.731+0200,1748854945,731496
185.107.103.141,2372365241,172.20.88.54,911742124,42020,245,udp,1,161,33607,,,,,122,3070020103300e02024a69020205dc040100020103042a3028040b8000000b033ce5a63b208a02010b020407020a730400040c0000000000000000000000000400302f040b8000000b033ce5a63b208a0400a81e02010002010002010030133011060a2b060106030f010104004103024670,0,0,2025-06-02T11:02:25.731+0200,1748854945,731702
185.93.76.153,2571918777,172.20.88.54,911742124,47981,244,udp,1,161,33114,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300843dc6f4e0a00201020204012333dd0400040004003030040c800000090300843dc6f4e0a00400a81e020237f002010002010030123010060a2b060106030f0101040041021749,0,0,2025-06-02T11:02:25.732+0200,1748854945,732085
159.100.90.249,4183450783,172.20.88.54,911742124,14640,243,udp,1,161,43072,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030078f1c68e9a8002010602040087893f0400040004003030040c80000009030078f1c68e9a800400a81e020237f002010002010030123010060a2b060106030f01010400410202c6,0,0,2025-06-02T11:02:25.732+0200,1748854945,732790
188.92.56.97,1631083708,172.20.88.54,911742124,33509,245,udp,1,161,47954,,,,,112,3066020103300e02024a69020205dc040100020103041e301c040c800000090300c4b239870c8002011b02037936e60400040004003031040c800000090300c4b239870c800400a81f020237f002010002010030133011060a2b060106030f0101040041031dfd64,0,0,2025-06-02T11:02:25.733+0200,1748854945,733168
159.100.112.31,527459487,172.20.88.54,911742124,44655,242,udp,1,161,35240,,,,,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300ac2aa15c2f0002010e02033e53bc0400040004003030040c800000090300ac2aa15c2f000400a81e020237f002010002010030123010060a2b060106030f01010400410201d2,0,0,2025-06-02T11:02:25.733+0200,1748854945,733372
185.65.54.24,406208953,172.20.88.54,911742124,20478,243,udp,1,161,57642,,,,,112,3066020103300e02024a69020205dc040100020103041e301c040c800000090300500f807e370002010e02036289100400040004003031040c800000090300500f807e37000400a81f020237f002010002010030133011060a2b060106030f0101040041030089e4,0,0,2025-06-02T11:02:25.733+0200,1748854945,733542
185.226.76.248,4165788345,172.20.88.54,911742124,46443,245,udp,1,161,59141,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030028affd10ae0002010d0204028a49510400040004003030040c80000009030028affd10ae000400a81e020237f002010002010030123010060a2b060106030f010104004102791e,0,0,2025-06-02T11:02:25.733+0200,1748854945,733757
185.254.42.108,1814757049,172.20.88.54,911742124,24672,244,udp,1,161,56389,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903006c416ac9a3aa020101020402a26fdd0400040004003030040c8000000903006c416ac9a3aa0400a81e020237f002010002010030123010060a2b060106030f0101040041020bf3,0,0,2025-06-02T11:02:25.733+0200,1748854945,733900
185.95.31.38,639590329,172.20.88.54,911742124,32308,54,udp,1,161,35321,,,,,121,306f020103300f02024a69020300ffe304010002010304233021041180001f88808eb94d100ce4e55a00000000020173020319e7c40400040004003034041180001f88808eb94d100ce4e55a000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041017f,0,0,2025-06-02T11:02:25.734+0200,1748854945,734364
185.253.48.201,3375431097,172.20.88.54,911742124,1891,244,udp,1,161,59162,,,,,109,3063020103300e02024a69020205dc040100020103041d301b040c8000000903004ce17571298002012402020eeb040004000400302f040c8000000903004ce1757129800400a81d020237f00201000201003011300f060a2b060106030f01010400410107,0,0,2025-06-02T11:02:25.734+0200,1748854945,734946
159.100.96.169,2841666719,172.20.88.54,911742124,54393,241,udp,1,161,36871,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903007411b2a6c780020110020401b469eb0400040004003030040c8000000903007411b2a6c7800400a81e020237f002010002010030123010060a2b060106030f0101040041021b59,0,0,2025-06-02T11:02:25.735+0200,1748854945,735600
185.60.252.118,1996242105,172.20.88.54,911742124,11005,53,udp,1,161,45958,,,,,114,3068020103300f02024a69020300ffe3040100020103041f301d040d80001f8880306407099950dd6702010102036018090400040004003031040d80001f8880306407099950dd670400a81e020237f002010002010030123010060a2b060106030f01010400410203fa,0,0,2025-06-02T11:02:25.735+0200,1748854945,735745
185.254.42.63,1059782329,172.20.88.54,911742124,44307,243,udp,1,161,37189,,,,,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300bc1665966eec02010102035801ee0400040004003030040c800000090300bc1665966eec0400a81e020237f002010002010030123010060a2b060106030f01010400410201d2,0,0,2025-06-02T11:02:25.736+0200,1748854945,736080
185.34.168.7,128459449,172.20.88.54,911742124,19999,245,udp,1,161,44099,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300b0c53ce4ac8002010a020401dc9a630400040004003031040c800000090300b0c53ce4ac800400a81f020237f002010002010030133011060a2b060106030f010104004103120d2c,0,0,2025-06-02T11:02:25.736+0200,1748854945,736450
185.226.79.152,2555372217,172.20.88.54,911742124,35720,245,udp,1,161,48064,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300f8e57e74250002010a0204012bc40c0400040004003031040c800000090300f8e57e7425000400a81f020237f002010002010030133011060a2b060106030f010104004103008304,0,0,2025-06-02T11:02:25.736+0200,1748854945,736656
185.252.194.2,46333113,172.20.88.54,911742124,13756,245,udp,1,161,43706,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903006cb2aed0ff0002011e0204035f225b0400040004003031040c8000000903006cb2aed0ff000400a81f020237f002010002010030133011060a2b060106030f01010400410301bfe2,0,0,2025-06-02T11:02:25.737+0200,1748854945,737679
190.93.114.8,141712830,172.20.88.54,911742124,52794,50,udp,1,161,41441,,,,,96,3056020103300f02024a69020300ffe304010002010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f01010400410207a2,0,0,2025-06-02T11:02:25.737+0200,1748854945,737838
164.90.200.222,3737672356,172.20.88.54,911742124,22899,53,udp,1,161,35736,,,,,122,3070020103300f02024a69020300ffe304010002010304233021041180001f8880ddabd21d2d01ec660000000002012002033c51e50400040004003035041180001f8880ddabd21d2d01ec66000000000400a81e020237f002010002010030123010060a2b060106030f010104004102019d,0,0,2025-06-02T11:02:25.738+0200,1748854945,738140
